Player,UID,AF,CF,DLF,F9,P,PF,TM
Ignacio Otaño,67240441.0,6.7,4.2,6.8,5.3,6.7,7.6,5.9
Diogo Fonseca,2000197949.0,5.7,6.6,7.3,5.2,5.7,10.1,7.3
Carlos Lourenço,2000190859.0,10.1,9.2,9.9,9.5,10.1,9.4,10.1
Luis Iglesias,2000440882.0,8.9,8.5,9.7,8.6,8.9,9.8,10.1
Chechu,2000629747.0,9.3,8.7,9.3,8.8,9.3,9.9,9.1
Isma Aizpiri,29164025.0,8.5,9.5,10.2,9.1,8.5,10.4,9.5
Xabier Cárdenas,67220146.0,8.8,9.9,10.9,10.4,8.8,9.4,8.5
Echu,67229627.0,10.8,9.3,9.6,9.9,10.8,9.3,8.2
Jaume Pérez,2000198633.0,11.8,10.1,9.6,9.8,11.8,12.2,10.6
Roberto Proietti,2000514073.0,11.9,8.1,9.0,9.8,11.9,10.2,9.1
Israel,2000631088.0,12.25,11.5,12.55,12.05,12.25,11.35,10.8
Jorge Bríngola,2000512567.0,4.55,2.85,4.9,4.05,4.55,3.1,4.35
Vladimir Fati,2000680262.0,5.1,6.0,5.7,4.3,5.1,9.0,7.3
Diego Muñoz,2000439850.0,6.8,7.25,5.15,5.45,6.8,7.9,7.1
Julen Gurrutxaga,2000682714.0,12.4,9.35,9.25,9.45,12.4,10.55,9.8
José Antonio Zubillaga,2000443802.0,5.2,5.9,5.65,3.75,5.2,10.25,6.7
Juan Vizcarra,2000681579.0,3.7,7.7,5.45,4.8,3.7,8.45,7.15
Edmilson Santos,83169922.0,9.6,8.35,10.3,9.8,9.6,8.4,8.05
Bilal Aceña,2000514725.0,3.7,4.3,4.45,3.65,3.7,6.7,4.6
Juan Carlos Abengózar,2000570111.0,7.65,9.25,10.05,9.85,7.65,8.15,8.15
Sandro,2000515229.0,6.2,5.9,5.05,5.7,6.2,8.0,4.9
Rafael Díaz,2000680769.0,11.7,9.7,9.7,10.35,11.7,11.2,10.2
Joaquín,2000742083.0,4.35,6.45,4.95,5.85,4.35,6.9,4.9
