Player,UID,CD,BPD,NNCB,Lib
Ignacio Otaño,67240441.0,6.5,5.6,7.1,4.5
Diogo Fonseca,2000197949.0,9.4,9.85,9.75,8.05
Carlos Lourenço,2000190859.0,11.4,11.3,11.8,9.7
Luis Iglesias,2000440882.0,13.0,11.4,12.3,9.9
Chechu,2000629747.0,11.0,9.8,10.5,9.9
Isma Aizpiri,29164025.0,10.8,11.2,11.1,10.7
Xabier Cárdenas,67220146.0,7.4,8.4,7.5,9.8
Echu,67229627.0,6.1,6.2,5.7,8.0
Jaume Pérez,2000198633.0,6.4,6.5,5.9,6.5
Roberto Proietti,2000514073.0,6.8,6.5,6.6,6.6
Israel,2000631088.0,6.65,7.3,6.75,8.35
Jorge Bríngola,2000512567.0,5.95,5.5,5.95,3.85
Vladimir Fati,2000680262.0,10.1,9.9,9.4,7.2
Diego Muñoz,2000439850.0,6.45,6.5,6.6,5.45
Julen Gurrutxaga,2000682714.0,6.8,6.35,6.3,6.85
José Antonio Zubillaga,2000443802.0,9.25,9.1,8.95,6.95
Juan Vizcarra,2000681579.0,6.1,7.25,5.55,6.5
Edmilson Santos,83169922.0,4.2,4.35,4.3,5.5
Bilal Aceña,2000514725.0,8.2,8.35,8.65,6.7
Juan Carlos Abengózar,2000570111.0,7.15,7.75,7.95,8.75
Sandro,2000515229.0,2.45,3.7,3.65,3.3
Rafael Díaz,2000680769.0,7.55,8.05,7.55,7.8
Joaquín,2000742083.0,2.35,3.8,4.05,3.6
