Player,UID,Position
Ignacio Otaño,67240441,GK
Diogo Fonseca,2000197949,"D (RC), WB (R), M (RC)"
Carlos Lourenço,2000190859,D (C)
Luis Iglesias,2000440882,"D (RC), DM"
Chechu,2000629747,"D (RL), WB/AM (R)"
Isma Aizpiri,29164025,"D (C), DM, M (C)"
Xabier Cárdenas,67220146,M (C)
Echu,67229627,"M/AM (RLC), ST (C)"
Jaume Pérez,2000198633,"AM (R), ST (C)"
Roberto Proietti,2000514073,"M/AM (L), ST (C)"
Israel,2000631088,"AM (C), ST (C)"
Jorge Bríngola,2000512567,GK
Vladimir Fati,2000680262,D (RLC)
Diego Muñoz,2000439850,"D (C), DM, M (C)"
Julen Gurrutxaga,2000682714,ST (C)
José Antonio Zubillaga,2000443802,"D (RC), WB (R), DM"
Juan Vizcarra,2000681579,"DM, M (C)"
Edmilson Santos,83169922,M/AM (C)
Bilal Aceña,2000514725,"D (RC), DM"
Juan Carlos Abengózar,2000570111,"M/AM (C), ST (C)"
Sandro,2000515229,D/WB/M/AM (R)
Rafael Díaz,2000680769,AM (R)
Joaquín,2000742083,AM (R)
