Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Ignacio Otaño,67240441.0,10.09,7.43,7.23,7.2,6.85,6.79,6.75,6.82,6.82,6.21
Diogo Fonseca,2000197949.0,8.84,8.46,8.82,8.29,8.32,7.39,7.73,7.48,7.49,7.17
Carlos Lourenço,2000190859.0,11.23,10.61,10.86,10.35,10.15,9.83,9.87,10.02,9.86,10.03
Luis Iglesias,2000440882.0,11.88,10.75,11.21,10.18,10.48,9.52,10.01,9.6,9.81,9.35
Chechu,2000629747.0,11.37,10.39,10.13,10.2,10.19,9.8,9.93,9.74,9.83,8.99
Isma Aizpiri,29164025.0,10.55,10.25,10.38,10.0,10.38,9.37,10.2,9.33,9.67,9.01
Xabier Cárdenas,67220146.0,9.55,9.7,9.27,9.9,9.87,10.17,10.35,10.12,10.35,9.4
Echu,67229627.0,8.29,8.61,7.35,9.1,8.49,9.57,9.07,9.82,9.61,9.38
Jaume Pérez,2000198633.0,9.72,9.66,8.4,10.25,9.35,10.74,10.05,11.14,10.74,10.76
Roberto Proietti,2000514073.0,9.94,9.7,8.63,10.23,8.99,10.45,9.49,10.87,10.17,10.13
Israel,2000631088.0,10.32,10.31,9.08,10.85,10.27,11.35,11.12,11.41,11.52,11.13
Jorge Bríngola,2000512567.0,8.55,5.55,6.43,4.82,5.29,4.51,4.73,4.35,4.48,4.47
Vladimir Fati,2000680262.0,7.97,8.42,8.96,8.09,8.09,7.17,7.44,7.36,7.2,7.04
Diego Muñoz,2000439850.0,6.03,7.22,6.6,7.51,6.95,7.29,7.16,7.61,7.4,7.28
Julen Gurrutxaga,2000682714.0,9.32,9.31,8.09,9.72,8.81,10.24,9.45,10.63,10.36,10.72
José Antonio Zubillaga,2000443802.0,7.92,8.41,8.41,8.35,8.04,7.36,7.66,7.59,7.45,6.97
Juan Vizcarra,2000681579.0,4.98,6.4,5.86,6.86,6.69,6.49,6.84,6.55,6.72,6.04
Edmilson Santos,83169922.0,8.78,8.33,7.14,8.78,8.07,9.33,9.09,9.44,9.53,9.04
Bilal Aceña,2000514725.0,6.68,6.98,7.9,6.51,6.77,5.59,6.11,5.64,5.7,5.43
Juan Carlos Abengózar,2000570111.0,8.76,8.41,7.98,8.49,8.56,8.6,9.04,8.52,8.94,8.18
Sandro,2000515229.0,4.42,5.84,5.15,6.56,5.49,6.82,6.27,7.27,6.84,6.79
Rafael Díaz,2000680769.0,9.49,10.01,9.21,10.53,9.64,10.8,10.07,11.06,10.39,10.33
Joaquín,2000742083.0,3.4,4.81,4.41,5.29,4.76,5.8,5.62,5.9,5.73,5.77
