Player,UID,Position
Rubén Blanco,67156610,GK
Andrejs Ciganiks,37075484,"D/WB (RL), M/AM (L)"
Luís Rodrigues,2000436535,"D (C), DM, M (C)"
Ricardo Graça,83107071,D (C)
Aarón Martín,67196209,D/WB (L)
Antonio Blanco,67256515,"DM, M (C)"
Billy Gilmour,61078265,"DM, M/AM (C)"
Christian Kouamé,43201838,"AM (RL), ST (C)"
Rodrigo Gogna,2000273938,"M (C), AM (LC)"
Octavian Popescu,57175903,M/AM (LC)
Yago Freitas,2000570843,"AM (RLC), ST (C)"
Manu Morlanes,67228802,"DM, M (C)"
Gorka Alarcón,2000194477,"M (R), AM (RC)"
Sergio Rico,67171745,GK
Germán,2000194475,D/M (C)
Luis Garai,2000681737,AM (L)
Ali Tweed,2000432931,D/M (C)
Dawid Kownacki,96059679,"M/AM (RL), ST (C)"
Reiss Nelson,28107919,"M (R), AM (RL), ST (C)"
Timo Zaal,2000022712,D (C)
Unai Gómez,2000065899,M (C)
Junior Esparragoza,2000179937,"D (C), WB (R), DM"
Emil Bohinen,53126104,"M (C), AM (RC)"
Pedro Esperancinha,2000437963,D (RLC)
Nino,2000511282,M/AM (RC)
