Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Rubén Blanco,67156610.0,6.5,11.25,10.5,10.67,6.5,7.5,7.75,13.08
Andrejs Ciganiks,37075484.0,12.0,13.12,12.0,12.17,9.67,11.67,9.5,11.08
Luís Rodrigues,2000436535.0,15.0,13.75,11.0,12.0,8.0,12.33,11.5,14.0
Ricardo Graça,83107071.0,13.67,13.75,13.5,11.0,11.33,11.67,12.5,12.83
Aarón Martín,67196209.0,13.33,11.12,14.0,12.17,12.17,12.67,8.0,14.17
Antonio Blanco,67256515.0,14.17,14.12,13.75,13.0,12.17,11.67,10.5,14.25
Billy Gilmour,61078265.0,9.83,10.25,12.0,14.0,13.33,13.67,8.0,14.25
Christian Kouamé,43201838.0,4.67,13.62,16.0,13.67,14.67,13.17,12.0,13.58
Rodrigo Gogna,2000273938.0,9.17,13.75,12.0,15.33,13.5,16.0,12.0,14.33
Octavian Popescu,57175903.0,10.0,13.38,14.0,14.67,12.17,14.33,9.5,11.83
Yago Freitas,2000570843.0,4.33,14.75,16.0,13.33,15.33,14.67,7.0,11.17
Manu Morlanes,67228802.0,14.5,13.88,14.0,13.67,10.33,12.17,8.5,12.75
Gorka Alarcón,2000194477.0,6.0,14.75,15.0,12.33,11.83,14.0,11.0,9.67
Sergio Rico,67171745.0,5.33,8.25,4.75,9.33,6.5,6.0,9.5,12.67
Germán,2000194475.0,12.0,14.75,13.0,9.0,8.5,8.83,15.5,13.5
Luis Garai,2000681737.0,6.0,13.75,16.0,10.33,10.0,13.33,9.0,10.33
Ali Tweed,2000432931.0,13.33,12.5,13.0,8.67,7.17,7.5,15.5,13.5
Dawid Kownacki,96059679.0,7.33,12.88,13.5,12.33,14.0,11.0,12.5,13.33
Reiss Nelson,28107919.0,7.67,12.5,14.5,13.17,11.5,14.5,5.5,10.83
Timo Zaal,2000022712.0,14.0,13.38,15.0,8.5,6.33,6.0,15.5,12.42
Unai Gómez,2000065899.0,10.83,10.88,13.5,13.0,11.0,12.17,7.0,11.08
Junior Esparragoza,2000179937.0,14.0,14.0,12.5,10.17,7.17,7.33,11.0,13.75
Emil Bohinen,53126104.0,7.83,12.88,13.5,14.5,12.5,13.33,8.5,11.92
Pedro Esperancinha,2000437963.0,12.33,15.25,12.25,8.67,6.33,8.17,10.5,14.58
Nino,2000511282.0,6.67,11.75,13.0,13.5,12.33,14.0,11.5,11.67
