Player,UID,DM,AM,BWM,HB,SV,RGA
Rubén Blanco,67156610.0,10.5,10.5,10.5,11.3,11.2,11.3
Andrejs Ciganiks,37075484.0,12.1,11.95,11.95,11.8,12.45,11.85
Luís Rodrigues,2000436535.0,14.9,14.9,14.9,14.6,14.4,13.5
Ricardo Graça,83107071.0,13.3,13.2,13.2,13.2,13.3,12.4
Aarón Martín,67196209.0,13.25,13.4,13.4,13.0,13.6,13.05
Antonio Blanco,67256515.0,14.15,14.25,14.25,13.6,14.25,13.75
Billy Gilmour,61078265.0,12.0,11.8,11.8,13.05,13.3,13.85
Christian Kouamé,43201838.0,10.55,10.55,10.55,11.3,10.75,12.95
Rodrigo Gogna,2000273938.0,13.4,13.8,13.8,12.35,13.25,14.85
Octavian Popescu,57175903.0,11.95,11.7,11.7,11.2,12.75,13.85
Yago Freitas,2000570843.0,10.3,10.0,10.0,10.2,10.7,12.5
Manu Morlanes,67228802.0,13.5,12.9,12.9,13.45,13.5,13.75
Gorka Alarcón,2000194477.0,9.45,9.5,9.5,10.3,10.15,11.35
Sergio Rico,67171745.0,9.25,9.6,9.6,9.7,8.95,9.95
Germán,2000194475.0,12.05,12.2,12.2,13.65,11.65,10.15
Luis Garai,2000681737.0,8.5,8.4,8.4,9.6,9.0,9.9
Ali Tweed,2000432931.0,12.75,12.6,12.6,13.6,12.45,9.75
Dawid Kownacki,96059679.0,11.25,11.5,11.5,12.1,11.1,11.95
Reiss Nelson,28107919.0,10.1,9.9,9.9,10.4,10.75,12.25
Timo Zaal,2000022712.0,13.15,12.35,12.35,11.4,12.5,10.65
Unai Gómez,2000065899.0,11.7,10.7,10.7,10.45,12.5,13.05
Junior Esparragoza,2000179937.0,13.45,13.25,13.25,13.45,12.6,11.1
Emil Bohinen,53126104.0,10.35,10.3,10.3,10.4,11.45,12.75
Pedro Esperancinha,2000437963.0,13.65,13.6,13.6,13.2,11.75,10.6
Nino,2000511282.0,10.35,11.15,11.15,10.45,10.65,12.15
