Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Rubén Blanco,67156610.0,16.5,11.25,10.5,13.08,13.5,7.0,14.5,13.5
Andrejs Ciganiks,37075484.0,3.5,13.12,12.0,11.08,1.5,3.0,1.75,2.5
Luís Rodrigues,2000436535.0,3.0,13.75,11.0,14.0,1.5,1.0,2.0,2.5
Ricardo Graça,83107071.0,2.0,13.75,13.5,12.83,2.25,1.5,3.0,1.75
Aarón Martín,67196209.0,3.25,11.12,14.0,14.17,3.5,1.5,2.5,2.5
Antonio Blanco,67256515.0,2.0,14.12,13.75,14.25,2.0,2.0,3.25,2.5
Billy Gilmour,61078265.0,2.25,10.25,12.0,14.25,2.25,1.5,3.0,3.0
Christian Kouamé,43201838.0,2.5,13.62,16.0,13.58,1.75,2.0,2.0,2.0
Rodrigo Gogna,2000273938.0,2.25,13.75,12.0,14.33,2.5,2.0,2.0,2.0
Octavian Popescu,57175903.0,1.75,13.38,14.0,11.83,2.0,2.0,2.25,1.75
Yago Freitas,2000570843.0,1.5,14.75,16.0,11.17,3.0,1.0,2.5,2.5
Manu Morlanes,67228802.0,3.0,13.88,14.0,12.75,3.0,1.5,1.75,1.75
Gorka Alarcón,2000194477.0,1.75,14.75,15.0,9.67,2.25,2.0,3.0,3.25
Sergio Rico,67171745.0,15.0,8.25,4.75,12.67,11.75,6.5,13.0,12.5
Germán,2000194475.0,3.0,14.75,13.0,13.5,3.0,3.0,2.5,2.0
Luis Garai,2000681737.0,2.25,13.75,16.0,10.33,2.5,2.5,2.5,3.5
Ali Tweed,2000432931.0,3.25,12.5,13.0,13.5,3.5,1.5,2.25,2.5
Dawid Kownacki,96059679.0,1.75,12.88,13.5,13.33,2.75,3.0,2.0,2.25
Reiss Nelson,28107919.0,3.0,12.5,14.5,10.83,1.75,4.5,2.25,2.5
Timo Zaal,2000022712.0,3.0,13.38,15.0,12.42,2.0,4.5,2.75,1.5
Unai Gómez,2000065899.0,3.25,10.88,13.5,11.08,2.75,1.5,2.0,3.25
Junior Esparragoza,2000179937.0,2.5,14.0,12.5,13.75,2.25,2.5,2.5,2.75
Emil Bohinen,53126104.0,1.75,12.88,13.5,11.92,2.25,2.0,3.0,3.5
Pedro Esperancinha,2000437963.0,1.5,15.25,12.25,14.58,2.25,3.5,3.0,2.0
Nino,2000511282.0,2.75,11.75,13.0,11.67,2.75,2.0,2.25,3.0
