Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Rubén Blanco,67156610,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrejs Ciganiks,37075484,0,1,0,1,1,0,1,0,0,1,0,0,1,0
Luís Rodrigues,2000436535,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Ricardo Graça,83107071,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aarón Martín,67196209,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Antonio Blanco,67256515,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Billy Gilmour,61078265,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Christian Kouamé,43201838,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Rodrigo Gogna,2000273938,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Octavian Popescu,57175903,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Yago Freitas,2000570843,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Manu Morlanes,67228802,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Gorka Alarcón,2000194477,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Sergio Rico,67171745,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Germán,2000194475,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Luis Garai,2000681737,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ali Tweed,2000432931,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Dawid Kownacki,96059679,0,0,0,0,0,0,0,1,0,1,1,0,1,1
Reiss Nelson,28107919,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Timo Zaal,2000022712,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Unai Gómez,2000065899,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Junior Esparragoza,2000179937,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Emil Bohinen,53126104,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Pedro Esperancinha,2000437963,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Nino,2000511282,0,0,0,0,0,0,0,1,1,0,1,1,0,0
