Player,UID,CD,BPD,NNCB,Lib
Álvaro Fernández,67262229.0,7.5,7.3,7.3,6.3
Borja Esnaola,2000438807.0,11.9,10.75,11.95,8.65
Francisco Javier García,2000442254.0,11.8,10.4,12.1,9.1
Fernando Juan,2000198639.0,12.0,11.2,11.7,9.3
Álex Pérez,2000020028.0,10.6,10.4,10.6,10.5
Mohamed Gallar,2000444071.0,12.85,12.75,13.35,11.65
Álvaro Fortes,2000443308.0,12.0,11.3,11.9,10.2
David Alfonso,67244455.0,3.35,3.85,2.45,5.15
Julio Delgado,67221282.0,4.9,5.6,5.0,8.1
Chiquinho,83169933.0,7.5,7.8,7.8,8.95
Víctor Socorro,67277518.0,7.7,8.7,7.4,8.4
Pedro Manuel Peña,2000665371.0,4.6,5.6,4.6,3.8
Andrés Alcántara,2000440886.0,9.8,9.35,9.45,8.25
Pep,2000198640.0,11.7,10.8,10.7,10.1
Serafín Godoy,2000202566.0,4.35,4.95,4.25,5.1
Pablo Jurado,2000681314.0,10.1,10.0,10.15,7.7
David Luna,67261047.0,10.45,10.25,9.85,7.6
Abel Pascual,67215623.0,12.0,11.7,12.3,10.3
Diego Ceballos,67269375.0,10.7,10.2,10.6,11.0
Isra Cano,2000065444.0,3.8,4.6,3.1,6.85
Isaiah,2000194472.0,11.85,10.95,11.75,7.9
Alain Garai,2000679842.0,2.05,3.5,2.9,5.0
Gorka Arrizabalaga,2000683360.0,3.7,4.3,4.1,5.65
