Player,UID,AMC,AP,T,SS,AM,EG
Álvaro Fernández,67262229.0,7.2,6.6,7.2,5.9,6.5,5.2
Borja Esnaola,2000438807.0,8.35,6.9,8.35,7.55,7.55,5.8
Francisco Javier García,2000442254.0,9.9,9.3,9.9,8.4,9.4,8.4
Fernando Juan,2000198639.0,9.4,8.5,9.4,8.4,8.9,7.6
Álex Pérez,2000020028.0,10.3,9.8,10.3,8.8,9.7,9.0
Mohamed Gallar,2000444071.0,10.0,8.85,10.0,9.25,9.45,9.45
Álvaro Fortes,2000443308.0,10.3,9.3,10.3,8.75,9.5,8.9
David Alfonso,67244455.0,8.45,9.85,8.45,8.05,8.15,9.95
Julio Delgado,67221282.0,10.0,11.0,10.0,11.3,11.3,11.1
Chiquinho,83169933.0,9.1,9.7,9.1,9.65,9.7,10.25
Víctor Socorro,67277518.0,9.5,10.1,9.5,10.6,10.5,10.7
Pedro Manuel Peña,2000665371.0,3.25,2.65,3.25,3.35,3.35,3.3
Andrés Alcántara,2000440886.0,9.45,8.1,9.45,9.05,9.05,7.9
Pep,2000198640.0,11.6,11.1,11.6,10.0,10.8,10.1
Serafín Godoy,2000202566.0,9.65,10.9,9.65,8.9,9.75,11.45
Pablo Jurado,2000681314.0,7.15,5.9,7.15,6.45,6.45,3.8
David Luna,67261047.0,7.25,6.15,7.25,7.0,7.0,5.55
Abel Pascual,67215623.0,8.7,7.9,8.7,7.6,8.2,7.1
Diego Ceballos,67269375.0,10.9,10.4,10.9,10.4,10.8,10.3
Isra Cano,2000065444.0,10.65,12.25,10.65,8.95,10.25,11.25
Isaiah,2000194472.0,6.95,5.65,6.95,6.2,6.2,5.55
Alain Garai,2000679842.0,7.3,8.3,7.3,7.8,8.55,8.85
Gorka Arrizabalaga,2000683360.0,10.35,12.05,10.35,9.95,10.15,12.55
