Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Álvaro Fernández,67262229.0,3.67,8.75,11.0,6.67,4.33,3.67,5.5,11.17
Borja Esnaola,2000438807.0,12.5,10.0,8.75,2.33,2.17,6.17,11.5,12.0
Francisco Javier García,2000442254.0,9.67,11.5,12.0,7.33,6.33,7.0,13.5,12.33
Fernando Juan,2000198639.0,12.0,11.25,12.0,6.33,6.67,5.33,12.5,12.17
Álex Pérez,2000020028.0,11.67,9.25,13.5,8.67,7.33,9.0,8.5,12.67
Mohamed Gallar,2000444071.0,13.67,11.38,4.75,8.0,6.67,9.0,11.0,9.92
Álvaro Fortes,2000443308.0,13.0,12.0,11.0,8.67,5.17,5.33,11.5,12.33
David Alfonso,67244455.0,0.0,7.5,13.5,10.0,8.83,12.83,5.0,7.0
Julio Delgado,67221282.0,2.0,8.5,13.5,10.33,9.67,12.67,2.5,9.83
Chiquinho,83169933.0,5.83,10.0,13.5,11.33,10.17,10.83,7.0,9.33
Víctor Socorro,67277518.0,4.0,11.0,14.5,10.33,12.0,12.33,12.0,7.67
Pedro Manuel Peña,2000665371.0,3.0,7.0,11.0,2.67,3.0,2.67,4.5,3.92
Andrés Alcántara,2000440886.0,10.5,12.5,10.75,3.33,1.83,8.17,7.0,10.17
Pep,2000198640.0,9.67,10.0,8.0,9.33,6.67,10.0,13.0,11.75
Serafín Godoy,2000202566.0,0.0,12.38,15.5,11.5,4.67,12.0,9.5,4.58
Pablo Jurado,2000681314.0,11.67,4.38,6.75,1.0,3.17,4.0,11.25,9.58
David Luna,67261047.0,11.33,9.5,11.5,2.17,3.83,6.83,10.75,10.75
Abel Pascual,67215623.0,12.67,10.25,10.0,6.33,5.0,6.67,12.0,10.5
Diego Ceballos,67269375.0,11.0,11.0,12.5,8.67,9.67,10.33,9.0,12.17
Isra Cano,2000065444.0,0.0,7.5,10.5,15.0,8.83,12.83,5.75,8.17
Isaiah,2000194472.0,11.33,11.5,8.0,1.83,3.17,6.83,10.25,12.25
Alain Garai,2000679842.0,0.0,3.5,16.0,10.33,9.0,8.5,6.75,3.17
Gorka Arrizabalaga,2000683360.0,0.0,8.75,9.0,12.33,9.0,11.17,9.5,5.83
