Player,UID,Position
Álvaro Fernández,67262229,GK
Borja Esnaola,2000438807,D (RLC)
Francisco Javier García,2000442254,"D (C), DM"
Fernando Juan,2000198639,D (RC)
Álex Pérez,2000020028,D/WB (L)
Mohamed Gallar,2000444071,"D (C), DM, M (C)"
Álvaro Fortes,2000443308,"D (C), DM, M (C)"
David Alfonso,67244455,"M (R), AM (RL), ST (C)"
Julio Delgado,67221282,"M (L), AM (RL)"
Chiquinho,83169933,"M (L), AM (RL)"
Víctor Socorro,67277518,ST (C)
Pedro Manuel Peña,2000665371,GK
Andrés Alcántara,2000440886,"D (RLC), WB (L)"
Pep,2000198640,"D (C), DM, M (C)"
Serafín Godoy,2000202566,"AM (RL), ST (C)"
Pablo Jurado,2000681314,D (RLC)
David Luna,67261047,"D (LC), WB (L)"
Abel Pascual,67215623,D (RC)
Diego Ceballos,67269375,D (R)
Isra Cano,2000065444,M/AM (C)
Isaiah,2000194472,"D (C), DM, M (C)"
Alain Garai,2000679842,AM (RLC)
Gorka Arrizabalaga,2000683360,M/AM (C)
