Player,UID,CD,BPD,NNCB,Lib
Martin Rusnak,2000290938.0,9.75,11.0,9.85,12.5
Paolo Marinoni,2000569081.0,8.65,7.9,8.25,9.55
Giovanni Mosca,2000567186.0,11.6,10.9,12.5,9.85
Ross Duff,2000505384.0,10.6,10.5,10.15,11.4
Connor Barron,2000483573.0,7.45,7.95,6.95,9.5
Arnór Daði Grétarsson,2000357428.0,9.6,10.6,10.1,10.05
Guglielmo Bosi,2000327294.0,8.9,8.95,8.6,9.75
Mislav Zadro,24065095.0,9.4,9.1,9.05,6.95
Jonathan David,18108540.0,9.7,10.0,9.7,11.2
Michael Brugaletta,2000626450.0,9.15,8.8,8.25,10.9
Danilo Brizi,2000567640.0,10.1,10.9,9.75,11.35
Vincenzo Savarese,2000567190.0,12.95,12.0,13.05,10.4
Marco Campagna,2000567188.0,8.45,9.55,8.9,10.7
Luca Zaccaria,2000507009.0,11.35,11.15,11.65,12.1
Francesco Bruschi,2000507006.0,9.0,10.3,9.1,10.9
Emir Lilaj,2000434777.0,7.85,8.15,8.05,8.3
Giovanni Fabiani,2000327318.0,9.6,10.1,9.05,10.75
Giorgio Matera,2000323826.0,8.05,9.4,8.55,8.55
Jesús María Sola,2000197806.0,8.9,9.8,8.45,10.45
Benjamin Šeško,62246208.0,12.1,12.7,12.05,12.0
James Owusu,2000567653.0,12.85,12.7,12.5,10.9
Mario Marco,2000489132.0,8.4,8.55,8.3,9.3
Michele Testi,2000507005.0,10.6,11.3,10.3,11.8
Renzo Pretel,2000536223.0,10.6,12.2,10.5,13.6
Tobias Christensen,53138127.0,8.85,9.9,8.75,12.3
Per Kruse,2000322907.0,10.5,11.15,11.1,10.3
Agustín Urzi,14219443.0,9.6,9.35,9.45,10.85
Gianluca Manfroni,2000191905.0,11.4,11.7,10.85,12.35
Matteo Soncin,43371875.0,9.25,9.1,9.55,6.6
Alexander Nübel,92071707.0,10.1,10.0,9.4,8.9
Marco Nardini,2000567183.0,5.45,6.5,6.8,4.35
Jacopo Besana,2000660239.0,11.05,11.1,10.75,11.45
Maurizio Simone,2000507008.0,13.9,12.9,13.7,12.0
Umberto Lippo,2000435435.0,13.35,12.5,12.75,11.55
Evaristo Santos,2000508915.0,12.8,12.9,12.0,14.7
Claudio Cellamare,2000019160.0,11.45,11.45,10.9,12.2
Daan Dierckx,2000046172.0,13.7,14.4,13.4,15.25
Willy Kambwala,2000006158.0,13.55,13.45,13.5,11.65
Pablo García,67288495.0,11.05,11.15,10.85,12.35
Marco Brescianini,43318320.0,12.7,13.35,12.3,13.65
Alessandro Buongiorno,43270682.0,13.8,13.55,13.6,12.1
Gianluca Caracciolo,2000567187.0,12.1,12.35,12.4,11.35
Leone Corti,2000626452.0,12.7,12.15,12.75,11.6
