Player,UID,Position
Martin Rusnak,2000290938,"M (C), AM (RLC)"
Paolo Marinoni,2000569081,"DM, M/AM (C)"
Giovanni Mosca,2000567186,"D (RLC), DM"
Ross Duff,2000505384,"M (LC), AM (C)"
Connor Barron,2000483573,"M/AM (L), ST (C)"
Arnór Daði Grétarsson,2000357428,M/AM (R)
Guglielmo Bosi,2000327294,M/AM (R)
Mislav Zadro,24065095,GK
Jonathan David,18108540,"AM (RLC), ST (C)"
Michael Brugaletta,2000626450,"M (RC), AM (C)"
Danilo Brizi,2000567640,"D (L), WB/M (R)"
Vincenzo Savarese,2000567190,"D (RC), WB (R)"
Marco Campagna,2000567188,M (C)
Luca Zaccaria,2000507009,M/AM (C)
Francesco Bruschi,2000507006,M/AM (L)
Emir Lilaj,2000434777,"M (R), AM (RLC), ST (C)"
Giovanni Fabiani,2000327318,"AM (C), ST (C)"
Giorgio Matera,2000323826,ST (C)
Jesús María Sola,2000197806,"M/AM (L), ST (C)"
Benjamin Šeško,62246208,ST (C)
James Owusu,2000567653,D (C)
Mario Marco,2000489132,"AM (RL), ST (C)"
Michele Testi,2000507005,"M/AM (R), ST (C)"
Renzo Pretel,2000536223,M (C)
Tobias Christensen,53138127,"M (C), AM (RLC), ST (C)"
Per Kruse,2000322907,ST (C)
Agustín Urzi,14219443,M/AM (RL)
Gianluca Manfroni,2000191905,"AM (R), ST (C)"
Matteo Soncin,43371875,GK
Alexander Nübel,92071707,GK
Marco Nardini,2000567183,GK
Jacopo Besana,2000660239,D (L)
Maurizio Simone,2000507008,D (C)
Umberto Lippo,2000435435,D (RC)
Evaristo Santos,2000508915,"DM, M (C)"
Claudio Cellamare,2000019160,"D (RC), WB (R)"
Daan Dierckx,2000046172,D (C)
Willy Kambwala,2000006158,D (C)
Pablo García,67288495,D/WB/M/AM (L)
Marco Brescianini,43318320,"DM, M (C)"
Alessandro Buongiorno,43270682,D (LC)
Gianluca Caracciolo,2000567187,"M (LC), AM (RC)"
Leone Corti,2000626452,D (RC)
