Player,UID,FB,WB,IWB,CWB,NNFB
Martin Rusnak,2000290938.0,11.25,12.0,11.75,12.62,10.25
Paolo Marinoni,2000569081.0,11.0,9.5,10.5,9.85,10.15
Giovanni Mosca,2000567186.0,11.6,10.75,11.5,10.58,13.4
Ross Duff,2000505384.0,11.95,11.05,12.1,11.46,11.35
Connor Barron,2000483573.0,9.85,9.9,8.8,10.62,7.65
Arnór Daði Grétarsson,2000357428.0,9.85,10.1,9.65,11.38,9.4
Guglielmo Bosi,2000327294.0,10.3,10.9,9.8,10.85,9.2
Mislav Zadro,24065095.0,8.15,5.35,7.1,5.62,7.7
Jonathan David,18108540.0,11.4,10.95,11.1,11.5,10.7
Michael Brugaletta,2000626450.0,11.2,11.35,11.1,12.04,10.25
Danilo Brizi,2000567640.0,11.7,11.75,11.35,11.88,10.35
Vincenzo Savarese,2000567190.0,12.1,10.6,11.45,10.23,13.05
Marco Campagna,2000567188.0,8.95,8.95,10.2,10.58,9.45
Luca Zaccaria,2000507009.0,10.25,10.2,11.3,10.92,11.65
Francesco Bruschi,2000507006.0,10.5,12.05,10.55,12.65,9.5
Emir Lilaj,2000434777.0,8.6,9.55,8.65,10.27,8.8
Giovanni Fabiani,2000327318.0,9.65,9.55,9.85,10.42,8.65
Giorgio Matera,2000323826.0,7.5,8.05,8.0,9.04,7.45
Jesús María Sola,2000197806.0,9.65,9.75,9.55,10.5,8.25
Benjamin Šeško,62246208.0,11.65,11.6,11.7,12.08,11.25
James Owusu,2000567653.0,12.7,10.95,11.85,10.77,12.0
Mario Marco,2000489132.0,10.35,10.6,9.7,11.42,9.3
Michele Testi,2000507005.0,11.6,11.4,11.4,12.31,10.7
Renzo Pretel,2000536223.0,11.7,12.4,13.2,13.38,11.0
Tobias Christensen,53138127.0,10.75,11.4,11.95,12.38,10.15
Per Kruse,2000322907.0,10.5,11.05,10.5,11.88,10.8
Agustín Urzi,14219443.0,12.15,12.6,11.2,12.31,11.2
Gianluca Manfroni,2000191905.0,12.15,11.85,11.75,12.19,10.85
Matteo Soncin,43371875.0,7.6,5.3,6.85,5.73,8.15
Alexander Nübel,92071707.0,10.2,6.8,9.9,8.08,9.6
Marco Nardini,2000567183.0,4.95,3.3,4.85,3.96,6.3
Jacopo Besana,2000660239.0,11.9,11.05,11.45,11.38,11.25
Maurizio Simone,2000507008.0,13.8,12.1,12.5,11.46,13.5
Umberto Lippo,2000435435.0,13.6,11.7,12.8,11.62,13.35
Evaristo Santos,2000508915.0,14.2,13.7,15.1,14.38,13.4
Claudio Cellamare,2000019160.0,13.85,13.15,12.6,12.5,12.1
Daan Dierckx,2000046172.0,15.1,12.9,15.45,13.62,14.3
Willy Kambwala,2000006158.0,13.55,11.85,12.25,11.69,12.8
Pablo García,67288495.0,12.65,12.9,12.25,12.77,11.95
Marco Brescianini,43318320.0,13.55,12.95,13.65,13.27,12.5
Alessandro Buongiorno,43270682.0,13.25,11.6,12.9,11.42,13.3
Gianluca Caracciolo,2000567187.0,12.4,12.15,11.55,12.35,12.3
Leone Corti,2000626452.0,13.2,11.85,12.45,11.31,13.2
