Player,UID,DM,AM,BWM,HB,SV,RGA
Martin Rusnak,2000290938.0,11.2,10.5,10.5,10.1,11.8,13.8
Paolo Marinoni,2000569081.0,10.2,10.5,10.5,10.8,10.05,10.45
Giovanni Mosca,2000567186.0,12.0,11.5,11.5,13.2,11.5,9.45
Ross Duff,2000505384.0,12.1,12.6,12.6,12.6,11.85,11.65
Connor Barron,2000483573.0,8.6,9.0,9.0,8.6,8.55,11.3
Arnór Daði Grétarsson,2000357428.0,9.05,9.1,9.1,10.2,10.0,11.6
Guglielmo Bosi,2000327294.0,10.15,9.85,9.85,9.65,9.25,10.75
Mislav Zadro,24065095.0,8.2,7.85,7.85,8.4,7.25,8.0
Jonathan David,18108540.0,10.8,10.7,10.7,11.15,11.05,12.45
Michael Brugaletta,2000626450.0,10.8,11.0,11.0,11.3,10.85,12.8
Danilo Brizi,2000567640.0,11.05,11.1,11.1,10.6,11.5,10.85
Vincenzo Savarese,2000567190.0,12.2,12.65,12.65,13.15,11.3,9.95
Marco Campagna,2000567188.0,9.2,9.3,9.3,10.2,10.0,11.55
Luca Zaccaria,2000507009.0,11.0,10.2,10.2,11.5,11.25,13.5
Francesco Bruschi,2000507006.0,9.65,9.15,9.15,9.5,10.7,12.3
Emir Lilaj,2000434777.0,8.65,8.15,8.15,9.2,8.7,9.9
Giovanni Fabiani,2000327318.0,9.75,9.7,9.7,9.45,9.75,12.6
Giorgio Matera,2000323826.0,7.25,6.8,6.8,7.75,9.05,9.8
Jesús María Sola,2000197806.0,9.35,8.9,8.9,8.85,9.65,12.4
Benjamin Šeško,62246208.0,11.55,11.6,11.6,11.5,11.9,12.65
James Owusu,2000567653.0,12.7,12.3,12.3,11.75,11.9,10.85
Mario Marco,2000489132.0,9.45,9.8,9.8,10.4,9.95,11.15
Michele Testi,2000507005.0,11.8,11.8,11.8,11.5,11.8,13.6
Renzo Pretel,2000536223.0,11.6,11.3,11.3,11.2,12.8,14.6
Tobias Christensen,53138127.0,10.6,10.5,10.5,10.3,11.9,13.6
Per Kruse,2000322907.0,10.55,9.95,9.95,11.1,10.95,12.3
Agustín Urzi,14219443.0,11.5,11.3,11.3,11.55,11.3,12.35
Gianluca Manfroni,2000191905.0,12.25,12.6,12.6,11.65,11.45,13.6
Matteo Soncin,43371875.0,7.7,7.35,7.35,8.7,7.6,7.2
Alexander Nübel,92071707.0,10.7,10.8,10.8,10.9,10.6,10.2
Marco Nardini,2000567183.0,5.15,4.5,4.5,6.3,5.9,5.0
Jacopo Besana,2000660239.0,12.05,11.25,11.25,11.0,11.6,11.65
Maurizio Simone,2000507008.0,13.6,13.5,13.5,13.4,12.8,10.8
Umberto Lippo,2000435435.0,13.8,13.9,13.9,13.65,13.1,11.45
Evaristo Santos,2000508915.0,14.1,14.1,14.1,13.7,14.7,15.0
Claudio Cellamare,2000019160.0,13.2,13.25,13.25,12.35,12.4,12.25
Daan Dierckx,2000046172.0,15.0,14.6,14.6,14.1,15.8,14.65
Willy Kambwala,2000006158.0,12.8,13.05,13.05,12.8,12.5,11.2
Pablo García,67288495.0,12.15,12.25,12.25,11.95,12.1,12.0
Marco Brescianini,43318320.0,13.15,13.05,13.05,12.5,13.75,13.65
Alessandro Buongiorno,43270682.0,13.55,13.45,13.45,13.05,13.05,11.65
Gianluca Caracciolo,2000567187.0,12.15,11.95,11.95,12.15,11.9,11.6
Leone Corti,2000626452.0,13.5,12.6,12.6,12.55,12.6,11.25
