Player,UID,AMC,AP,T,SS,AM,EG
Martin Rusnak,2000290938.0,13.6,14.0,13.6,14.3,14.75,14.75
Paolo Marinoni,2000569081.0,11.6,11.9,11.6,10.4,11.25,11.7
Giovanni Mosca,2000567186.0,10.75,10.15,10.75,9.8,10.15,10.25
Ross Duff,2000505384.0,13.8,13.3,13.8,11.9,12.85,12.7
Connor Barron,2000483573.0,11.5,12.5,11.5,11.6,12.05,13.05
Arnór Daði Grétarsson,2000357428.0,11.65,12.25,11.65,11.9,12.05,12.55
Guglielmo Bosi,2000327294.0,12.1,11.9,12.1,11.4,11.95,11.9
Mislav Zadro,24065095.0,6.9,5.95,6.9,5.65,6.25,4.9
Jonathan David,18108540.0,12.85,12.8,12.85,13.2,13.1,12.8
Michael Brugaletta,2000626450.0,14.05,14.85,14.05,14.5,14.8,14.55
Danilo Brizi,2000567640.0,11.7,11.0,11.7,11.35,11.75,11.1
Vincenzo Savarese,2000567190.0,10.25,10.15,10.25,9.15,9.95,9.4
Marco Campagna,2000567188.0,11.85,12.5,11.85,11.2,11.8,12.6
Luca Zaccaria,2000507009.0,12.5,12.8,12.5,13.0,13.45,13.25
Francesco Bruschi,2000507006.0,12.2,12.6,12.2,13.25,13.1,13.5
Emir Lilaj,2000434777.0,10.9,11.2,10.9,11.05,11.0,11.4
Giovanni Fabiani,2000327318.0,12.45,13.25,12.45,13.0,13.15,13.15
Giorgio Matera,2000323826.0,9.3,9.5,9.3,11.0,10.1,10.05
Jesús María Sola,2000197806.0,11.75,12.35,11.75,13.3,12.75,12.75
Benjamin Šeško,62246208.0,12.85,12.75,12.85,13.1,13.2,13.15
James Owusu,2000567653.0,11.1,10.7,11.1,10.4,10.55,10.0
Mario Marco,2000489132.0,12.4,13.3,12.4,11.9,12.4,12.9
Michele Testi,2000507005.0,13.6,14.1,13.6,14.9,14.4,14.2
Renzo Pretel,2000536223.0,14.4,14.7,14.4,14.1,15.1,15.2
Tobias Christensen,53138127.0,14.1,14.5,14.1,14.0,14.65,14.55
Per Kruse,2000322907.0,12.9,13.4,12.9,13.95,13.7,13.8
Agustín Urzi,14219443.0,13.05,13.15,13.05,13.0,13.2,13.45
Gianluca Manfroni,2000191905.0,14.15,14.65,14.15,13.9,14.05,14.45
Matteo Soncin,43371875.0,6.45,5.65,6.45,6.15,6.45,5.25
Alexander Nübel,92071707.0,11.6,10.6,11.6,9.65,10.3,9.2
Marco Nardini,2000567183.0,4.1,3.35,4.1,4.25,4.25,3.35
Jacopo Besana,2000660239.0,11.8,11.6,11.8,11.95,12.15,11.2
Maurizio Simone,2000507008.0,11.5,10.6,11.5,10.6,10.9,10.0
Umberto Lippo,2000435435.0,12.15,11.85,12.15,11.35,11.4,11.35
Evaristo Santos,2000508915.0,16.0,16.0,16.0,14.8,15.8,15.5
Claudio Cellamare,2000019160.0,12.65,12.05,12.65,11.75,12.65,12.05
Daan Dierckx,2000046172.0,14.35,13.55,14.35,12.9,13.75,13.05
Willy Kambwala,2000006158.0,11.25,10.95,11.25,10.35,10.95,11.05
Pablo García,67288495.0,12.25,11.95,12.25,12.3,12.5,12.25
Marco Brescianini,43318320.0,13.7,13.5,13.7,13.5,13.8,13.65
Alessandro Buongiorno,43270682.0,11.55,11.05,11.55,11.15,11.6,11.1
Gianluca Caracciolo,2000567187.0,12.15,12.5,12.15,12.75,12.9,13.05
Leone Corti,2000626452.0,11.2,10.8,11.2,10.5,10.55,10.1
