Player,UID,Position
Nicolas Năstase,2000507437,D (RL)
Ferdinando Dentale,2000569307,"DM, M (LC)"
Salim El Hachimi,2000513191,"M/AM (L), ST (C)"
Italo Bedin,2000509481,"DM, M/AM (C)"
Hrvoje Bekavac,2000506912,"DM, M/AM (RC)"
Matteo Tagliaferri,2000437237,D (C)
Stefano Bruno,2000437233,ST (C)
Luca Fiorini,2000435206,"M (C), ST (C)"
Pierre Dumas,2000435176,"M/AM (R), ST (C)"
Astrit Selmani,93070505,"AM (RLC), ST (C)"
Samuele Lucchiari,2000327369,M/AM (RC)
Alberto Savi,2000323571,M/AM (LC)
Christian Achton,2000323225,M/AM (R)
Franco Letizia,2000199596,D/WB/M (L)
Lorenzo Raimondo,2000199594,"D/WB (R), M (RL), AM (R)"
Kaan Ayhan,91100534,"D (RC), DM"
Ethan Galbraith,28115835,"DM, M/AM (C)"
Martin Kotasek,2000512933,GK
Brahim Mbodj,2000442457,"DM, M/AM (C)"
Giuseppe Pezzella,43161921,"D (RL), WB/M (L)"
Massimo Savini,2000569304,"AM (RC), ST (C)"
Diego Calderoni,2000435216,"M (LC), AM (L)"
Eric Amthor,2000324171,M/AM (R)
Riccardo Viti,2000199589,"AM (RLC), ST (C)"
Abubakar Chibueze,2000191834,"D (R), AM (RLC), ST (C)"
Rúben Vezo,55067158,"D (RC), DM"
Valentin Rosier,50047466,"D (RL), WB (R)"
Abdou Harroui,37064635,"DM, M (C), AM (RC)"
Patrik Schick,25042141,"M (R), AM (RC), ST (C)"
Alessandro Plizzari,43295108,GK
Ivor Pandur,24060905,GK
Catanha,2000609394,GK
Călin Iovan,2000189364,"D (C), DM, M (C)"
Tommaso Farabegoli,43252164,D (C)
Luca Ranieri,43270506,"D (LC), WB/M (L)"
Rickard Sahlin,2000483096,"M (L), AM (LC), ST (C)"
Thierry Correia,83111501,"D (RL), WB (R)"
Mattia Zaccagni,43125343,M/AM (LC)
Mihael Žaper,24053048,"DM, M (RC), AM (R)"
Mehdi Léris,43252697,"M/AM (RLC), ST (C)"
Ondrej Lingr,25055110,"M (C), AM (RLC), ST (C)"
Ronaldo Vieira,29161106,"DM, M (C)"
Massimiliano Bernardi,2000567620,"AM (R), ST (C)"
João Oliveira,2000435239,"AM (R), ST (C)"
Bruce Djemesi,2000438289,"AM (R), ST (C)"
Yuri D'Antonio,2000569303,"AM (R), ST (C)"
Cătălin Grosu,2000329331,"M (L), AM (RLC)"
Diego Marcelo,2000607427,D (L)
