Player,UID,CD,BPD,NNCB,Lib
Nicolas Năstase,2000507437.0,11.6,11.4,11.2,11.6
Ferdinando Dentale,2000569307.0,9.75,10.3,9.95,11.35
Salim El Hachimi,2000513191.0,7.3,8.45,7.6,9.2
Italo Bedin,2000509481.0,8.7,10.2,8.5,12.25
Hrvoje Bekavac,2000506912.0,6.9,8.0,7.3,10.05
Matteo Tagliaferri,2000437237.0,12.95,11.55,12.25,10.25
Stefano Bruno,2000437233.0,10.05,9.8,9.9,10.0
Luca Fiorini,2000435206.0,8.65,9.4,8.85,9.8
Pierre Dumas,2000435176.0,8.8,9.2,8.4,9.1
Astrit Selmani,93070505.0,11.55,10.5,11.45,10.7
Samuele Lucchiari,2000327369.0,10.65,11.05,10.25,10.8
Alberto Savi,2000323571.0,7.2,7.6,7.15,9.75
Christian Achton,2000323225.0,8.85,9.4,8.25,10.1
Franco Letizia,2000199596.0,10.7,10.4,9.95,9.95
Lorenzo Raimondo,2000199594.0,9.45,9.55,9.15,9.7
Kaan Ayhan,91100534.0,12.7,12.65,12.6,12.35
Ethan Galbraith,28115835.0,9.95,10.5,10.05,11.9
Martin Kotasek,2000512933.0,8.35,7.15,8.75,6.2
Brahim Mbodj,2000442457.0,9.95,10.75,9.6,11.15
Giuseppe Pezzella,43161921.0,12.45,12.45,12.35,12.35
Massimo Savini,2000569304.0,9.1,9.5,8.6,9.2
Diego Calderoni,2000435216.0,10.45,10.5,10.65,10.45
Eric Amthor,2000324171.0,7.5,8.4,7.4,9.35
Riccardo Viti,2000199589.0,10.25,10.15,9.1,10.4
Abubakar Chibueze,2000191834.0,6.95,6.85,6.55,6.95
Rúben Vezo,55067158.0,12.35,12.15,12.1,11.85
Valentin Rosier,50047466.0,11.8,11.55,11.2,12.75
Abdou Harroui,37064635.0,11.5,11.05,11.45,11.65
Patrik Schick,25042141.0,10.9,11.2,10.65,12.25
Alessandro Plizzari,43295108.0,10.5,10.05,10.6,8.45
Ivor Pandur,24060905.0,8.75,8.1,8.1,6.8
Catanha,2000609394.0,9.1,8.2,8.45,7.15
Călin Iovan,2000189364.0,13.4,13.1,13.45,12.75
Tommaso Farabegoli,43252164.0,13.1,12.65,13.3,10.15
Luca Ranieri,43270506.0,12.75,12.45,12.7,12.35
Rickard Sahlin,2000483096.0,10.15,10.6,10.35,11.4
Thierry Correia,83111501.0,11.0,10.65,11.2,11.25
Mattia Zaccagni,43125343.0,10.85,11.3,10.55,13.2
Mihael Žaper,24053048.0,12.25,12.85,11.8,13.35
Mehdi Léris,43252697.0,8.75,9.9,8.55,10.9
Ondrej Lingr,25055110.0,10.55,10.55,10.7,10.9
Ronaldo Vieira,29161106.0,11.95,12.3,11.85,13.25
Massimiliano Bernardi,2000567620.0,8.2,9.4,7.7,10.1
João Oliveira,2000435239.0,9.7,9.7,9.2,10.6
Bruce Djemesi,2000438289.0,9.2,9.5,8.5,9.8
Yuri D'Antonio,2000569303.0,9.05,9.9,9.15,11.0
Cătălin Grosu,2000329331.0,10.7,10.9,10.6,12.6
Diego Marcelo,2000607427.0,10.1,9.0,9.05,8.4
