Player,UID,FB,WB,IWB,CWB,NNFB
Nicolas Năstase,2000507437.0,12.7,11.9,12.7,11.77,12.7
Ferdinando Dentale,2000569307.0,10.1,10.05,11.8,11.12,10.95
Salim El Hachimi,2000513191.0,8.55,9.5,8.0,10.35,7.0
Italo Bedin,2000509481.0,11.4,10.8,12.7,11.88,10.2
Hrvoje Bekavac,2000506912.0,8.3,9.0,8.7,10.12,7.4
Matteo Tagliaferri,2000437237.0,12.5,10.45,11.15,9.88,12.3
Stefano Bruno,2000437233.0,8.45,8.75,9.2,9.58,9.6
Luca Fiorini,2000435206.0,8.6,8.75,9.3,9.92,9.05
Pierre Dumas,2000435176.0,9.4,9.55,8.55,10.5,8.2
Astrit Selmani,93070505.0,11.95,11.0,11.05,11.08,12.25
Samuele Lucchiari,2000327369.0,10.95,11.3,10.6,11.62,10.05
Alberto Savi,2000323571.0,8.6,8.2,9.3,9.54,8.25
Christian Achton,2000323225.0,11.05,11.4,9.75,11.77,8.65
Franco Letizia,2000199596.0,11.4,10.2,10.65,9.88,10.35
Lorenzo Raimondo,2000199594.0,11.55,11.5,10.2,11.15,9.75
Kaan Ayhan,91100534.0,12.45,10.6,12.75,11.12,12.4
Ethan Galbraith,28115835.0,11.8,11.55,12.1,12.23,11.25
Martin Kotasek,2000512933.0,8.15,5.85,7.0,5.77,8.65
Brahim Mbodj,2000442457.0,10.6,10.1,11.55,10.62,9.8
Giuseppe Pezzella,43161921.0,13.35,12.8,12.55,12.69,12.65
Massimo Savini,2000569304.0,9.5,9.4,9.0,10.08,8.0
Diego Calderoni,2000435216.0,11.0,11.2,10.0,11.85,10.55
Eric Amthor,2000324171.0,9.65,10.8,8.85,11.62,7.9
Riccardo Viti,2000199589.0,10.75,10.25,10.05,10.88,9.2
Abubakar Chibueze,2000191834.0,8.45,8.0,7.2,8.46,7.05
Rúben Vezo,55067158.0,12.05,10.15,12.15,10.23,11.7
Valentin Rosier,50047466.0,13.05,12.7,13.15,12.81,12.4
Abdou Harroui,37064635.0,12.05,11.35,12.15,11.58,12.35
Patrik Schick,25042141.0,10.65,10.55,11.55,11.42,10.15
Alessandro Plizzari,43295108.0,10.55,7.6,9.7,7.77,10.9
Ivor Pandur,24060905.0,7.85,6.0,6.35,6.65,6.45
Catanha,2000609394.0,8.7,5.7,7.85,6.0,8.05
Călin Iovan,2000189364.0,14.0,11.6,13.6,12.0,14.35
Tommaso Farabegoli,43252164.0,12.05,10.0,11.25,9.65,12.5
Luca Ranieri,43270506.0,13.35,12.55,12.65,12.42,13.0
Rickard Sahlin,2000483096.0,11.3,11.55,11.6,12.31,11.15
Thierry Correia,83111501.0,12.35,12.0,11.55,11.96,12.2
Mattia Zaccagni,43125343.0,12.25,11.5,13.15,12.23,11.65
Mihael Žaper,24053048.0,12.3,12.0,12.95,12.42,11.6
Mehdi Léris,43252697.0,10.15,10.4,10.15,11.08,8.65
Ondrej Lingr,25055110.0,10.95,11.25,10.65,11.5,10.8
Ronaldo Vieira,29161106.0,13.2,12.15,13.7,12.5,13.05
Massimiliano Bernardi,2000567620.0,9.5,10.4,9.2,11.62,7.7
João Oliveira,2000435239.0,11.1,11.4,10.1,12.0,9.7
Bruce Djemesi,2000438289.0,10.4,10.9,9.5,11.46,8.8
Yuri D'Antonio,2000569303.0,9.75,9.8,10.15,11.0,9.55
Cătălin Grosu,2000329331.0,11.7,12.2,11.9,13.0,11.3
Diego Marcelo,2000607427.0,10.45,9.4,9.1,9.92,9.5
