Player,UID,WM,W,DW,IW,IF,WG
Nicolas Năstase,2000507437.0,11.6,11.7,12.4,12.0,11.6,11.08
Ferdinando Dentale,2000569307.0,11.9,10.65,10.4,12.85,12.0,10.12
Salim El Hachimi,2000513191.0,9.5,11.4,7.45,10.6,10.1,11.25
Italo Bedin,2000509481.0,12.35,12.2,11.3,14.0,13.0,11.17
Hrvoje Bekavac,2000506912.0,9.15,10.6,7.8,10.9,9.9,9.92
Matteo Tagliaferri,2000437237.0,10.0,9.9,11.5,9.45,9.1,10.38
Stefano Bruno,2000437233.0,10.75,11.25,8.75,11.7,12.0,11.12
Luca Fiorini,2000435206.0,10.75,11.45,8.6,12.45,12.3,11.38
Pierre Dumas,2000435176.0,10.65,12.25,8.6,11.4,12.15,12.38
Astrit Selmani,93070505.0,12.2,13.2,11.1,13.05,13.5,12.92
Samuele Lucchiari,2000327369.0,11.65,12.3,10.15,12.55,12.5,12.58
Alberto Savi,2000323571.0,10.6,11.45,8.15,12.5,11.8,10.54
Christian Achton,2000323225.0,11.1,14.3,9.6,12.75,12.3,13.75
Franco Letizia,2000199596.0,10.3,9.9,10.55,9.55,8.6,9.75
Lorenzo Raimondo,2000199594.0,11.3,11.75,10.65,10.35,9.95,11.29
Kaan Ayhan,91100534.0,10.85,10.25,12.35,11.35,10.9,10.62
Ethan Galbraith,28115835.0,12.35,12.95,11.6,13.55,13.2,12.12
Martin Kotasek,2000512933.0,5.9,6.9,7.05,7.0,6.3,7.33
Brahim Mbodj,2000442457.0,11.7,10.9,10.35,12.75,11.55,11.0
Giuseppe Pezzella,43161921.0,12.3,12.65,12.75,12.1,11.7,12.54
Massimo Savini,2000569304.0,10.4,12.0,8.7,11.5,11.3,12.33
Diego Calderoni,2000435216.0,11.5,12.3,10.4,11.65,12.0,12.33
Eric Amthor,2000324171.0,11.55,12.6,9.4,11.95,11.9,11.92
Riccardo Viti,2000199589.0,11.9,13.35,10.2,12.9,12.5,13.29
Abubakar Chibueze,2000191834.0,8.4,10.05,7.05,9.7,9.85,9.96
Rúben Vezo,55067158.0,10.4,9.25,11.8,10.45,9.65,9.79
Valentin Rosier,50047466.0,13.05,12.95,13.15,12.65,12.2,12.04
Abdou Harroui,37064635.0,12.55,12.1,12.1,12.9,12.15,11.83
Patrik Schick,25042141.0,12.3,12.45,10.65,13.85,13.7,12.71
Alessandro Plizzari,43295108.0,7.7,8.25,9.45,9.5,8.9,8.71
Ivor Pandur,24060905.0,6.45,6.5,6.05,7.25,6.75,7.5
Catanha,2000609394.0,6.3,7.5,7.55,7.1,6.1,7.75
Călin Iovan,2000189364.0,11.7,10.9,12.8,12.8,12.3,10.92
Tommaso Farabegoli,43252164.0,9.05,9.15,11.45,8.95,8.8,10.12
Luca Ranieri,43270506.0,11.95,12.4,13.0,11.9,11.5,12.17
Rickard Sahlin,2000483096.0,12.65,13.75,11.4,13.85,13.5,13.21
Thierry Correia,83111501.0,11.45,12.75,11.65,11.45,11.0,11.96
Mattia Zaccagni,43125343.0,13.6,13.7,12.5,15.05,14.6,12.83
Mihael Žaper,24053048.0,12.8,12.3,12.6,13.45,12.85,12.33
Mehdi Léris,43252697.0,10.6,12.4,9.8,12.25,12.2,12.08
Ondrej Lingr,25055110.0,11.5,12.95,10.7,12.1,12.1,12.62
Ronaldo Vieira,29161106.0,12.7,12.05,13.3,13.15,12.6,11.38
Massimiliano Bernardi,2000567620.0,12.0,13.6,9.2,12.5,12.6,13.17
João Oliveira,2000435239.0,12.4,14.0,10.0,13.4,13.9,13.42
Bruce Djemesi,2000438289.0,11.8,14.1,8.9,13.1,13.7,13.67
Yuri D'Antonio,2000569303.0,11.9,12.5,9.4,13.65,14.1,12.0
Cătălin Grosu,2000329331.0,12.9,13.1,11.6,13.8,13.5,12.17
Diego Marcelo,2000607427.0,10.45,12.15,9.4,9.95,9.25,11.92
