Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Yanis Mohamed,2000710637,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Manuel García,2000633004,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Pablo López,2000612702,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vicente Jové,2000574547,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Diego Mercado,14160026,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Miguel Rodríguez,2000192674,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Eduardo Bautista,2000207175,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Antonio Manuel Bazán,2000714138,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Jordi Busquets,2000574550,0,0,0,1,0,0,1,0,0,0,0,1,1,0
Morris Pietranera,2000568425,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Giancarlo Perea,2000512704,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Sullivan Mayele,2000506525,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Mikel Santamaría,2000201716,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Yeray Ortega,2000199817,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Jon Magunazelaia,2000082492,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Javi Cueto,67279676,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adrián Ortolà,67115824,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrés Romero,2000193995,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Ibrahima Kébé,2000024313,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Lluís,2000443359,1,0,0,0,0,0,0,0,0,0,0,0,0,0
