Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Yanis Mohamed,2000710637.0,10.7,10.7,10.7,10.7,11.2,11.2,10.3,10.3,11.67,11.67
Manuel García,2000633004.0,9.7,9.7,9.7,9.7,11.1,11.1,9.9,9.9,11.46,11.46
Pablo López,2000612702.0,10.1,10.1,10.1,10.1,10.9,10.9,9.6,9.6,10.58,10.58
Vicente Jové,2000574547.0,9.5,9.5,9.5,9.5,10.55,10.55,8.8,8.8,9.75,9.75
Diego Mercado,14160026.0,11.1,11.1,11.1,11.1,10.0,10.0,10.6,10.6,9.17,9.17
Miguel Rodríguez,2000192674.0,12.3,12.3,12.3,12.3,12.1,12.1,12.5,12.5,11.58,11.58
Eduardo Bautista,2000207175.0,10.4,10.4,10.4,10.4,12.6,12.6,10.2,10.2,11.67,11.67
Antonio Manuel Bazán,2000714138.0,10.55,10.55,10.55,10.55,10.4,10.4,9.85,9.85,9.79,9.79
Jordi Busquets,2000574550.0,8.6,8.6,8.6,8.6,8.75,8.75,8.6,8.6,7.88,7.88
Morris Pietranera,2000568425.0,12.2,12.2,12.2,12.2,11.1,11.1,12.8,12.8,10.92,10.92
Giancarlo Perea,2000512704.0,13.3,13.3,13.3,13.3,11.7,11.7,13.1,13.1,11.67,11.67
Sullivan Mayele,2000506525.0,13.3,13.3,13.3,13.3,11.0,11.0,12.4,12.4,10.92,10.92
Mikel Santamaría,2000201716.0,11.7,11.7,11.7,11.7,11.9,11.9,11.3,11.3,11.25,11.25
Yeray Ortega,2000199817.0,11.1,11.1,11.1,11.1,10.1,10.1,10.9,10.9,10.71,10.71
Jon Magunazelaia,2000082492.0,11.9,11.9,11.9,11.9,11.4,11.4,12.0,12.0,11.25,11.25
Javi Cueto,67279676.0,12.4,12.4,12.4,12.4,12.4,12.4,12.9,12.9,11.83,11.83
Adrián Ortolà,67115824.0,7.9,7.9,7.9,7.9,4.6,4.6,7.9,7.9,5.0,5.0
Andrés Romero,2000193995.0,7.9,7.9,7.9,7.9,6.55,6.55,7.9,7.9,7.62,7.62
Ibrahima Kébé,2000024313.0,11.4,11.4,11.4,11.4,11.1,11.1,10.5,10.5,11.17,11.17
Lluís,2000443359.0,8.3,8.3,8.3,8.3,7.4,7.4,8.3,8.3,7.0,7.0
