Player,UID,AF,CF,DLF,F9,P,PF,TM
Yanis Mohamed,2000710637.0,10.7,10.5,11.3,10.5,10.7,11.7,12.3
Manuel García,2000633004.0,9.8,8.4,8.7,9.8,9.8,9.0,8.85
Pablo López,2000612702.0,11.3,9.2,9.8,9.7,11.3,11.0,9.3
Vicente Jové,2000574547.0,7.65,10.35,9.05,9.0,7.65,10.0,9.6
Diego Mercado,14160026.0,10.3,10.4,11.8,11.3,10.3,11.3,10.4
Miguel Rodríguez,2000192674.0,11.6,10.3,12.1,12.2,11.6,10.3,10.3
Eduardo Bautista,2000207175.0,12.2,9.7,10.2,10.8,12.2,11.8,9.8
Antonio Manuel Bazán,2000714138.0,9.65,10.0,11.7,11.05,9.65,9.1,9.5
Jordi Busquets,2000574550.0,8.95,6.05,7.95,7.15,8.95,8.5,6.35
Morris Pietranera,2000568425.0,11.8,12.3,12.8,12.1,11.8,11.6,12.5
Giancarlo Perea,2000512704.0,12.2,11.8,13.4,13.1,12.2,11.2,11.7
Sullivan Mayele,2000506525.0,10.6,11.8,12.9,12.3,10.6,11.2,11.6
Mikel Santamaría,2000201716.0,11.3,9.5,10.6,10.9,11.3,11.2,8.9
Yeray Ortega,2000199817.0,11.3,10.3,10.8,10.2,11.3,10.8,11.55
Jon Magunazelaia,2000082492.0,12.5,12.1,12.9,12.3,12.5,11.2,12.0
Javi Cueto,67279676.0,13.7,12.3,12.0,12.3,13.7,12.1,11.4
Adrián Ortolà,67115824.0,5.9,7.2,9.5,7.1,5.9,7.0,8.4
Andrés Romero,2000193995.0,6.7,6.2,6.85,6.05,6.7,7.9,7.15
Ibrahima Kébé,2000024313.0,11.2,10.9,11.4,10.4,11.2,12.0,10.9
Lluís,2000443359.0,8.1,6.2,8.4,6.6,8.1,9.6,7.0
