Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Yanis Mohamed,2000710637.0,12.58,12.17,12.16,11.78,11.6,11.33,11.53,11.35,11.33,11.13
Manuel García,2000633004.0,8.35,8.43,7.56,8.88,7.81,9.51,8.74,9.8,9.51,9.68
Pablo López,2000612702.0,11.97,11.47,10.72,11.58,10.87,11.37,10.92,11.73,11.41,10.71
Vicente Jové,2000574547.0,7.24,8.35,7.15,8.98,8.48,8.96,9.21,9.05,9.24,8.26
Diego Mercado,14160026.0,11.2,10.73,10.45,10.74,10.93,10.55,10.81,10.38,10.61,10.01
Miguel Rodríguez,2000192674.0,11.15,10.88,10.25,11.29,10.75,11.64,11.36,11.68,11.57,11.15
Eduardo Bautista,2000207175.0,10.26,10.25,9.05,10.89,9.82,11.29,10.43,11.6,10.98,10.65
Antonio Manuel Bazán,2000714138.0,8.08,8.59,7.08,9.36,8.27,10.05,9.63,10.09,10.09,9.68
Jordi Busquets,2000574550.0,9.86,9.22,8.3,9.43,8.72,9.05,8.94,9.29,9.16,8.08
Morris Pietranera,2000568425.0,10.08,10.19,9.63,10.42,10.26,10.64,10.81,10.62,11.03,11.3
Giancarlo Perea,2000512704.0,10.62,10.49,9.55,10.9,10.48,11.45,11.29,11.4,11.66,11.45
Sullivan Mayele,2000506525.0,11.97,11.63,11.35,11.48,11.83,11.35,12.05,11.23,11.74,10.87
Mikel Santamaría,2000201716.0,12.4,11.92,11.57,12.0,11.39,11.6,11.33,11.71,11.45,10.77
Yeray Ortega,2000199817.0,12.79,11.84,12.41,11.33,11.6,10.79,11.2,10.81,10.91,10.79
Jon Magunazelaia,2000082492.0,11.68,11.34,11.02,11.53,11.37,11.85,11.94,11.88,12.26,12.12
Javi Cueto,67279676.0,11.25,11.14,10.32,11.62,10.96,11.99,11.58,12.29,12.16,12.32
Adrián Ortolà,67115824.0,9.46,7.58,7.63,7.35,7.45,7.17,7.6,6.9,7.23,6.99
Andrés Romero,2000193995.0,11.68,9.95,10.77,9.17,9.32,8.29,8.73,8.32,8.34,7.96
Ibrahima Kébé,2000024313.0,12.57,12.17,12.06,12.04,12.13,11.64,11.79,11.78,11.82,11.29
Lluís,2000443359.0,11.26,9.25,8.74,9.2,8.64,8.69,8.74,8.74,8.73,7.89
