Player,UID,Position
Yanis Mohamed,2000710637,D (C)
Manuel García,2000633004,"M/AM (L), ST (C)"
Pablo López,2000612702,D (R)
Vicente Jové,2000574547,"M/AM (C), ST (C)"
Diego Mercado,14160026,"DM, M (C)"
Miguel Rodríguez,2000192674,"M (LC), AM (RLC)"
Eduardo Bautista,2000207175,"M (RC), AM (R)"
Antonio Manuel Bazán,2000714138,"DM, M/AM (C)"
Jordi Busquets,2000574550,"D/WB (L), AM (LC)"
Morris Pietranera,2000568425,"M (C), AM (L), ST (C)"
Giancarlo Perea,2000512704,"M/AM (C), ST (C)"
Sullivan Mayele,2000506525,"DM, M/AM (C)"
Mikel Santamaría,2000201716,D/WB (L)
Yeray Ortega,2000199817,D (RC)
Jon Magunazelaia,2000082492,"M/AM (C), ST (C)"
Javi Cueto,67279676,ST (C)
Adrián Ortolà,67115824,GK
Andrés Romero,2000193995,"D (RC), WB (R)"
Ibrahima Kébé,2000024313,"DM, M (C)"
Lluís,2000443359,GK
