Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Marco Sala,43323122.0,2.75,11.88,13.5,12.58,2.75,2.0,3.0,2.0
Sodiq Bala,2000521262.0,3.5,12.88,12.25,12.5,2.0,4.0,3.0,2.0
Valerio Montesano,2000514124.0,9.0,11.25,9.5,8.67,9.0,7.0,12.5,11.5
Ayoub Poderini,2000508895.0,1.75,11.88,14.25,10.58,3.25,2.0,3.25,4.5
Erinson Ramírez,77048797.0,2.25,9.12,15.0,9.58,3.25,1.0,4.0,3.25
Santo Piccolo,2000437933.0,2.25,10.88,9.25,9.58,3.0,2.5,3.0,3.0
Joseph Ienca,2000436506.0,2.25,9.88,14.0,8.08,3.5,2.5,1.75,2.0
Mitar Bajatović,2000436218.0,2.75,11.62,11.25,13.25,2.25,3.0,2.75,2.75
Matteo Colombo,2000434039.0,1.75,11.62,10.0,12.58,3.0,1.0,3.0,2.25
Veljko Nikolić,62175128.0,2.5,10.25,11.5,11.75,3.25,3.0,2.25,4.0
Gracjan Sagan,2000197897.0,2.5,13.38,13.25,13.75,2.5,2.5,2.75,3.0
Dennis Serofilli,2000197105.0,3.25,11.62,14.5,10.75,2.5,2.0,1.75,2.25
Samuel Sosa,86054425.0,2.5,13.25,13.5,10.92,2.25,3.0,2.25,2.5
Florent Da Silva,49056278.0,2.25,12.12,12.5,11.58,3.0,2.0,3.5,3.5
Adam Oudjani,49041403.0,2.0,12.12,15.0,9.67,1.75,2.5,2.0,3.0
Riechedly Bazoer,37041762.0,3.0,12.62,10.5,12.33,2.25,4.0,1.75,3.25
Orri Steinn Óskarsson,39062838.0,2.5,11.38,13.0,12.33,2.5,3.0,3.5,1.75
Luigi Trecroci,2000626439.0,2.0,14.25,16.0,9.83,2.0,2.0,1.0,3.0
Tiziano Gennarelli,2000569301.0,2.5,12.12,12.75,8.08,2.75,2.5,2.75,2.75
Walter Erra,2000569294.0,0.0,11.12,10.5,9.08,0.0,0.0,0.0,0.0
Hermann Essomba,2000568393.0,7.75,8.88,7.0,11.5,8.25,3.5,13.0,9.75
Alessio Marafioti,2000436508.0,2.5,13.5,12.5,10.92,2.0,2.0,3.25,2.25
Dane Ricciuto,2000431771.0,2.0,13.62,16.0,11.58,2.75,2.0,3.5,3.25
Ofri Arad,42078012.0,3.25,13.12,12.0,12.92,2.5,2.5,2.25,1.75
Gianluca Santini,2000024721.0,2.25,13.88,12.25,9.08,3.25,2.0,2.0,2.5
Florian Miguel,211504.0,2.75,13.5,12.25,13.08,3.0,2.5,1.5,3.0
Giacomo Calò,43154747.0,2.25,12.62,11.0,12.67,2.0,4.0,2.25,3.25
Nhem Kakada,2000569295.0,3.0,14.5,13.0,12.33,2.0,2.0,3.0,1.5
Liberato Milvatti,2000193932.0,2.75,13.5,10.5,11.58,2.0,2.5,2.0,1.5
Carlos Cuesta,76047487.0,2.75,12.12,12.5,13.08,2.0,2.5,2.5,1.75
Filip Braut,24065858.0,2.5,12.25,16.0,11.33,1.75,2.0,2.5,4.0
Lorenzo Cattani,2000514061.0,9.5,7.25,5.5,7.83,9.5,3.0,14.5,7.0
Igor Lucatelli,43500432.0,13.0,10.88,8.5,12.58,12.0,5.0,15.0,12.5
Giacomo Satalino,43252200.0,13.0,11.62,10.0,11.25,12.5,11.0,13.5,12.0
Alessandro Masella,2000438278.0,1.75,13.12,14.75,11.67,2.0,2.0,2.0,2.75
Riccardo Marchizza,43190965.0,2.0,13.12,13.25,13.42,2.75,2.0,2.5,2.75
Luca Fiordilino,43124601.0,3.25,12.62,12.0,13.17,1.75,5.0,2.25,3.0
Armindo Sieb,2000065610.0,3.75,10.12,14.0,10.5,3.0,3.0,3.0,2.0
Nazariy Rusyn,71092749.0,3.5,14.5,13.0,10.17,2.75,2.5,2.5,2.25
Kevin Rüegg,98041554.0,3.0,13.25,13.0,12.75,2.25,3.5,2.5,1.5
Simone Zanardi,2000192610.0,2.75,13.75,14.0,13.17,3.5,2.0,2.5,3.5
Nicholas Praticò,2000569474.0,2.0,12.62,12.5,11.92,2.75,4.0,2.25,4.5
Marco Bernardinello,2000569299.0,3.0,11.38,12.5,13.17,2.5,3.5,3.0,4.0
