Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Marco Sala,43323122.0,12.67,11.88,13.5,10.33,9.17,10.33,5.5,12.58
Sodiq Bala,2000521262.0,11.67,12.88,12.25,7.83,6.0,9.83,13.25,12.5
Valerio Montesano,2000514124.0,3.33,11.25,9.5,2.33,3.67,2.67,6.0,8.67
Ayoub Poderini,2000508895.0,7.0,11.88,14.25,10.17,7.0,9.17,5.5,10.58
Erinson Ramírez,77048797.0,7.17,9.12,15.0,13.33,10.33,14.33,7.5,9.58
Santo Piccolo,2000437933.0,4.83,10.88,9.25,11.83,14.67,10.83,9.0,9.58
Joseph Ienca,2000436506.0,4.17,9.88,14.0,10.5,8.33,12.17,11.75,8.08
Mitar Bajatović,2000436218.0,11.0,11.62,11.25,8.5,6.67,6.5,14.5,13.25
Matteo Colombo,2000434039.0,10.67,11.62,10.0,6.83,7.5,8.33,10.5,12.58
Veljko Nikolić,62175128.0,8.0,10.25,11.5,14.0,12.67,14.83,9.0,11.75
Gracjan Sagan,2000197897.0,12.33,13.38,13.25,10.67,8.0,10.0,12.0,13.75
Dennis Serofilli,2000197105.0,4.33,11.62,14.5,10.0,9.33,11.67,6.5,10.75
Samuel Sosa,86054425.0,9.83,13.25,13.5,10.83,11.17,12.83,7.0,10.92
Florent Da Silva,49056278.0,6.83,12.12,12.5,14.0,12.67,14.0,9.0,11.58
Adam Oudjani,49041403.0,6.5,12.12,15.0,13.67,11.17,14.0,11.0,9.67
Riechedly Bazoer,37041762.0,11.33,12.62,10.5,13.67,11.83,13.33,11.75,12.33
Orri Steinn Óskarsson,39062838.0,8.83,11.38,13.0,12.0,13.67,12.5,12.5,12.33
Luigi Trecroci,2000626439.0,5.33,14.25,16.0,11.0,9.0,12.67,7.0,9.83
Tiziano Gennarelli,2000569301.0,4.67,12.12,12.75,11.83,9.83,10.83,7.5,8.08
Walter Erra,2000569294.0,8.83,11.12,10.5,13.5,6.67,11.33,11.0,9.08
Hermann Essomba,2000568393.0,6.0,8.88,7.0,6.67,3.67,6.83,8.5,11.5
Alessio Marafioti,2000436508.0,8.33,13.5,12.5,9.0,8.17,11.5,11.5,10.92
Dane Ricciuto,2000431771.0,7.17,13.62,16.0,14.17,12.17,13.0,11.5,11.58
Ofri Arad,42078012.0,13.67,13.12,12.0,10.0,9.83,9.33,12.0,12.92
Gianluca Santini,2000024721.0,11.0,13.88,12.25,4.67,3.67,4.17,15.5,9.08
Florian Miguel,211504.0,13.0,13.5,12.25,9.17,9.5,11.33,10.0,13.08
Giacomo Calò,43154747.0,11.0,12.62,11.0,14.33,11.17,13.0,9.25,12.67
Nhem Kakada,2000569295.0,11.67,14.5,13.0,10.67,7.33,11.33,6.5,12.33
Liberato Milvatti,2000193932.0,12.0,13.5,10.5,9.17,7.5,9.5,13.5,11.58
Carlos Cuesta,76047487.0,12.67,12.12,12.5,10.33,11.5,10.67,10.5,13.08
Filip Braut,24065858.0,13.33,12.25,16.0,11.0,8.0,8.0,7.5,11.33
Lorenzo Cattani,2000514061.0,2.0,7.25,5.5,1.0,2.33,1.83,7.5,7.83
Igor Lucatelli,43500432.0,5.83,10.88,8.5,7.17,4.83,3.67,9.25,12.58
Giacomo Satalino,43252200.0,6.0,11.62,10.0,5.83,6.17,7.0,9.0,11.25
Alessandro Masella,2000438278.0,7.0,13.12,14.75,14.67,10.0,12.67,9.5,11.67
Riccardo Marchizza,43190965.0,13.67,13.12,13.25,10.33,8.0,9.67,13.5,13.42
Luca Fiordilino,43124601.0,11.67,12.62,12.0,14.0,11.17,13.67,8.75,13.17
Armindo Sieb,2000065610.0,7.5,10.12,14.0,12.0,11.67,11.83,8.0,10.5
Nazariy Rusyn,71092749.0,9.67,14.5,13.0,11.17,12.33,12.5,12.5,10.17
Kevin Rüegg,98041554.0,12.0,13.25,13.0,10.17,9.83,11.17,7.0,12.75
Simone Zanardi,2000192610.0,13.33,13.75,14.0,8.33,9.0,11.0,8.0,13.17
Nicholas Praticò,2000569474.0,6.0,12.62,12.5,12.83,11.5,14.33,7.0,11.92
Marco Bernardinello,2000569299.0,6.0,11.38,12.5,13.17,12.5,10.0,7.5,13.17
