Player,UID,Position
Marco Sala,43323122,D/WB/M (L)
Sodiq Bala,2000521262,D (RLC)
Valerio Montesano,2000514124,GK
Ayoub Poderini,2000508895,M/AM (LC)
Erinson Ramírez,77048797,"M (R), AM (RLC)"
Santo Piccolo,2000437933,"AM (C), ST (C)"
Joseph Ienca,2000436506,"M (LC), AM (L)"
Mitar Bajatović,2000436218,D (C)
Matteo Colombo,2000434039,D (RC)
Veljko Nikolić,62175128,M/AM (C)
Gracjan Sagan,2000197897,D (RC)
Dennis Serofilli,2000197105,"AM (L), ST (C)"
Samuel Sosa,86054425,"M (L), AM (RL)"
Florent Da Silva,49056278,"DM, M/AM (C)"
Adam Oudjani,49041403,"M (R), AM (RL)"
Riechedly Bazoer,37041762,"D (C), DM, M (C)"
Orri Steinn Óskarsson,39062838,"M (R), AM (RL), ST (C)"
Luigi Trecroci,2000626439,M/AM (L)
Tiziano Gennarelli,2000569301,"AM (RLC), ST (C)"
Walter Erra,2000569294,"WB (R), M (C)"
Hermann Essomba,2000568393,GK
Alessio Marafioti,2000436508,D/WB (RL)
Dane Ricciuto,2000431771,M/AM (RC)
Ofri Arad,42078012,"D (C), DM"
Gianluca Santini,2000024721,D (C)
Florian Miguel,211504,"D (LC), WB (L)"
Giacomo Calò,43154747,"DM, M (C)"
Nhem Kakada,2000569295,D/WB (L)
Liberato Milvatti,2000193932,"D (C), DM"
Carlos Cuesta,76047487,"D (RC), WB (R), DM"
Filip Braut,24065858,"D (RL), WB (R)"
Lorenzo Cattani,2000514061,GK
Igor Lucatelli,43500432,GK
Giacomo Satalino,43252200,GK
Alessandro Masella,2000438278,"DM, M (C), AM (LC)"
Riccardo Marchizza,43190965,D (LC)
Luca Fiordilino,43124601,"DM, M (C)"
Armindo Sieb,2000065610,"AM (C), ST (C)"
Nazariy Rusyn,71092749,ST (C)
Kevin Rüegg,98041554,"D (RC), WB (R)"
Simone Zanardi,2000192610,D/WB (L)
Nicholas Praticò,2000569474,"AM (C), ST (C)"
Marco Bernardinello,2000569299,"DM, M/AM (C)"
