Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Marco Sala,43323122,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Sodiq Bala,2000521262,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Valerio Montesano,2000514124,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayoub Poderini,2000508895,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Erinson Ramírez,77048797,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Santo Piccolo,2000437933,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Joseph Ienca,2000436506,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Mitar Bajatović,2000436218,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matteo Colombo,2000434039,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Veljko Nikolić,62175128,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Gracjan Sagan,2000197897,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dennis Serofilli,2000197105,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Samuel Sosa,86054425,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Florent Da Silva,49056278,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Adam Oudjani,49041403,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Riechedly Bazoer,37041762,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Orri Steinn Óskarsson,39062838,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Luigi Trecroci,2000626439,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Tiziano Gennarelli,2000569301,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Walter Erra,2000569294,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Hermann Essomba,2000568393,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessio Marafioti,2000436508,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Dane Ricciuto,2000431771,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Ofri Arad,42078012,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Gianluca Santini,2000024721,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Florian Miguel,211504,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Giacomo Calò,43154747,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Nhem Kakada,2000569295,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Liberato Milvatti,2000193932,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Carlos Cuesta,76047487,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Filip Braut,24065858,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Lorenzo Cattani,2000514061,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Igor Lucatelli,43500432,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Giacomo Satalino,43252200,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Masella,2000438278,0,0,0,0,0,1,0,0,1,0,0,1,1,0
Riccardo Marchizza,43190965,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Luca Fiordilino,43124601,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Armindo Sieb,2000065610,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Nazariy Rusyn,71092749,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kevin Rüegg,98041554,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Simone Zanardi,2000192610,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Nicholas Praticò,2000569474,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Marco Bernardinello,2000569299,0,0,0,0,0,1,0,0,1,0,0,1,0,0
