Player,UID,CD,BPD,NNCB,Lib
Carlos Marín,67211705.0,7.7,6.6,7.7,6.7
Alex Aketxe,2000443798.0,10.75,10.0,10.95,10.35
Diego Alende,67199156.0,12.95,13.0,13.05,12.85
Francisco Marín,2000666188.0,12.6,11.7,12.1,10.7
Jean-Marie Durand,2000198617.0,11.5,11.05,11.6,9.55
Gideon Ikechukwu,2000683108.0,12.8,12.65,13.55,12.75
Agapito Torres,2000201479.0,12.65,12.05,12.8,10.75
Álex,2000509919.0,8.75,7.7,8.2,8.6
Daniel Moreno,2000631545.0,11.1,11.85,11.15,12.05
Javi Pereda,2000199802.0,7.3,7.2,7.5,7.75
Aldin Turkes,98033077.0,9.8,9.55,9.9,9.2
Ngala Diop,2000712992.0,5.15,5.75,5.15,3.7
Echedey Carpintier,83212484.0,9.4,9.9,8.65,8.65
Daniel Moreno,2000681256.0,5.45,4.35,4.85,6.0
Facundo Barboza,2000280204.0,5.35,6.5,5.75,7.15
Victor Cano,2000443364.0,3.55,4.3,4.1,6.25
Fede Vico,67142992.0,7.15,8.45,7.45,11.1
Antonio Díaz,2000569978.0,5.9,6.55,5.8,7.05
Rubén Prieto,2000572704.0,6.1,5.5,5.8,5.1
Virgil Thérésin,49040143.0,11.3,11.7,11.8,10.8
Víctor Meseguer,67278046.0,11.5,11.8,11.5,11.7
Felipe Núñez,2000197172.0,10.85,10.45,10.65,7.9
Javier Bravo,2000713001.0,7.5,8.0,6.4,9.5
