Player,UID,Position
Carlos Marín,67211705,GK
Alex Aketxe,2000443798,D/WB/M/AM (R)
Diego Alende,67199156,"D (RC), DM, M (C)"
Francisco Marín,2000666188,D (C)
Jean-Marie Durand,2000198617,D/WB (L)
Gideon Ikechukwu,2000683108,"DM, M (C)"
Agapito Torres,2000201479,"D (C), DM, M (C)"
Álex,2000509919,"M/AM (R), ST (C)"
Daniel Moreno,2000631545,"AM (C), ST (C)"
Javi Pereda,2000199802,"M/AM (L), ST (C)"
Aldin Turkes,98033077,ST (C)
Ngala Diop,2000712992,GK
Echedey Carpintier,83212484,D/WB/M/AM (L)
Daniel Moreno,2000681256,"AM (C), ST (C)"
Facundo Barboza,2000280204,"M (RC), AM (R)"
Victor Cano,2000443364,"M (C), AM (LC)"
Fede Vico,67142992,"M (LC), AM (RLC), ST (C)"
Antonio Díaz,2000569978,"M (C), AM (LC)"
Rubén Prieto,2000572704,"AM (L), ST (C)"
Virgil Thérésin,49040143,D (C)
Víctor Meseguer,67278046,M/AM (C)
Felipe Núñez,2000197172,"D (RC), M (R)"
Javier Bravo,2000713001,AM (R)
