Player,UID,FB,WB,IWB,CWB,NNFB
Carlos Marín,67211705.0,7.35,5.4,7.1,5.23,7.65
Alex Aketxe,2000443798.0,11.3,11.3,10.7,11.46,11.45
Diego Alende,67199156.0,12.7,10.9,12.9,11.31,13.25
Francisco Marín,2000666188.0,11.7,10.5,11.2,10.31,11.6
Jean-Marie Durand,2000198617.0,12.5,11.15,11.3,10.62,12.4
Gideon Ikechukwu,2000683108.0,14.05,11.8,13.75,11.77,14.65
Agapito Torres,2000201479.0,12.5,10.6,11.75,10.42,12.6
Álex,2000509919.0,10.75,10.45,8.9,10.31,9.0
Daniel Moreno,2000631545.0,11.0,11.5,11.85,12.27,10.85
Javi Pereda,2000199802.0,9.1,9.75,7.95,10.04,8.5
Aldin Turkes,98033077.0,9.4,8.75,9.3,9.27,9.8
Ngala Diop,2000712992.0,4.35,2.75,4.15,3.15,4.6
Echedey Carpintier,83212484.0,11.0,8.5,9.75,9.0,9.05
Daniel Moreno,2000681256.0,5.75,8.05,5.45,8.5,5.1
Facundo Barboza,2000280204.0,7.35,9.75,7.1,10.88,6.85
Victor Cano,2000443364.0,5.1,7.15,5.8,8.54,4.7
Fede Vico,67142992.0,8.6,8.9,10.0,10.0,8.0
Antonio Díaz,2000569978.0,4.6,6.6,5.85,8.35,4.5
Rubén Prieto,2000572704.0,6.1,7.4,4.4,8.23,5.2
Virgil Thérésin,49040143.0,11.9,10.15,11.7,9.96,12.1
Víctor Meseguer,67278046.0,11.6,10.8,11.6,11.15,11.4
Felipe Núñez,2000197172.0,11.15,8.25,9.7,8.27,10.85
Javier Bravo,2000713001.0,9.95,10.1,9.2,10.42,7.15
