Player,UID,AMC,AP,T,SS,AM,EG
Carlos Marín,67211705.0,7.4,6.6,7.4,6.35,7.05,5.75
Alex Aketxe,2000443798.0,12.1,12.2,12.1,11.4,12.05,12.3
Diego Alende,67199156.0,12.3,11.8,12.3,11.3,11.85,11.2
Francisco Marín,2000666188.0,10.0,9.5,10.0,8.75,9.1,8.8
Jean-Marie Durand,2000198617.0,11.25,10.75,11.25,10.5,10.55,10.25
Gideon Ikechukwu,2000683108.0,12.35,11.95,12.35,11.75,11.95,11.45
Agapito Torres,2000201479.0,11.65,10.85,11.65,10.35,10.85,9.95
Álex,2000509919.0,12.0,12.2,12.0,11.2,11.9,11.5
Daniel Moreno,2000631545.0,13.5,13.9,13.5,13.35,13.95,14.5
Javi Pereda,2000199802.0,10.1,10.8,10.1,10.05,10.1,11.25
Aldin Turkes,98033077.0,11.5,11.3,11.5,11.55,11.1,10.8
Ngala Diop,2000712992.0,2.95,2.45,2.95,3.55,3.55,2.85
Echedey Carpintier,83212484.0,8.9,7.85,8.9,9.1,9.1,7.0
Daniel Moreno,2000681256.0,10.75,12.15,10.75,10.15,10.95,12.3
Facundo Barboza,2000280204.0,9.8,10.15,9.8,9.65,9.85,11.65
Victor Cano,2000443364.0,10.35,12.0,10.35,9.65,10.55,11.9
Fede Vico,67142992.0,11.0,11.5,11.0,11.2,11.5,11.0
Antonio Díaz,2000569978.0,10.35,11.55,10.35,9.35,10.45,11.35
Rubén Prieto,2000572704.0,10.0,10.9,10.0,10.3,9.0,9.5
Virgil Thérésin,49040143.0,10.2,9.5,10.2,9.55,10.0,8.8
Víctor Meseguer,67278046.0,12.0,12.3,12.0,11.4,11.9,12.0
Felipe Núñez,2000197172.0,8.25,7.2,8.25,7.55,7.55,6.55
Javier Bravo,2000713001.0,11.5,11.8,11.5,11.25,11.65,11.4
