Player,UID,WM,W,DW,IW,IF,WG
Carlos Marín,67211705.0,5.4,5.5,6.75,7.05,6.35,5.79
Alex Aketxe,2000443798.0,11.9,12.7,11.1,12.05,11.4,12.42
Diego Alende,67199156.0,11.2,10.2,12.3,11.85,11.3,10.33
Francisco Marín,2000666188.0,9.9,9.2,11.4,9.1,8.75,9.83
Jean-Marie Durand,2000198617.0,11.25,11.55,11.75,10.55,10.5,11.62
Gideon Ikechukwu,2000683108.0,10.9,11.0,13.3,11.95,11.75,10.92
Agapito Torres,2000201479.0,10.5,10.4,11.8,10.85,10.35,11.08
Álex,2000509919.0,11.65,13.15,9.35,11.9,11.2,12.38
Daniel Moreno,2000631545.0,12.9,13.3,11.0,13.95,13.35,13.5
Javi Pereda,2000199802.0,9.7,12.05,8.1,10.1,10.05,11.29
Aldin Turkes,98033077.0,10.0,10.45,8.95,11.1,11.55,10.88
Ngala Diop,2000712992.0,2.45,3.05,3.5,3.55,3.55,3.38
Echedey Carpintier,83212484.0,9.35,7.25,9.65,9.1,9.1,7.46
Daniel Moreno,2000681256.0,10.2,12.05,4.6,10.95,10.15,11.58
Facundo Barboza,2000280204.0,10.5,11.8,6.85,9.85,9.65,10.92
Victor Cano,2000443364.0,9.15,10.4,5.35,10.55,9.65,10.0
Fede Vico,67142992.0,10.7,9.6,9.5,11.5,11.2,8.62
Antonio Díaz,2000569978.0,9.65,9.7,4.3,10.45,9.35,10.08
Rubén Prieto,2000572704.0,9.9,11.0,5.1,9.0,10.3,11.17
Virgil Thérésin,49040143.0,8.95,8.25,10.95,10.0,9.55,8.71
Víctor Meseguer,67278046.0,11.3,11.6,10.9,11.9,11.4,11.58
Felipe Núñez,2000197172.0,8.65,7.6,10.0,7.55,7.55,8.0
Javier Bravo,2000713001.0,11.35,11.85,9.65,11.65,11.25,11.08
