Player,UID,AMC,AP,T,SS,AM,EG
Jan Oblak,64016316.0,11.5,11.4,11.5,9.5,10.25,9.85
Marc Jurado,2000032704.0,13.1,13.0,13.1,13.3,13.4,13.4
Nehuén Pérez,14181374.0,13.0,11.7,13.0,11.8,12.6,11.5
Malang Sarr,48036830.0,13.9,13.5,13.9,12.9,13.4,13.5
Gonzalo Sánchez,2000416515.0,15.0,14.4,15.0,13.7,14.2,13.6
Simone Panada,43425634.0,13.8,14.0,13.8,13.2,14.1,14.2
Sergej Milinković-Savić,62127037.0,14.7,15.4,14.7,14.8,14.9,15.4
Nikola Stanković,2000211075.0,13.2,13.35,13.2,13.25,14.0,14.05
Manoel Azambuja,2000410625.0,16.3,16.7,16.3,16.85,16.95,16.9
João Félix,83169822.0,15.0,15.6,15.0,15.6,15.7,15.9
Oğuz Civelek,2000232509.0,13.9,14.4,13.9,14.7,14.3,15.0
Pierre Dwomoh,2000006277.0,14.0,14.4,14.0,14.3,14.7,14.5
Matteo Godfroid,18114989.0,9.85,8.7,9.85,8.2,9.05,8.05
Juan Manuel,2000510085.0,14.9,14.4,14.9,13.7,14.2,14.2
Thomas Lemar,85093001.0,14.3,14.7,14.3,14.2,14.5,14.7
Lorenzo Granelli,2000437491.0,14.1,14.4,14.1,15.6,15.2,15.2
José Giménez,78060464.0,13.2,12.5,13.2,12.1,12.5,11.6
Marcos Llorente,67196198.0,13.7,13.5,13.7,12.9,13.3,12.7
Dimo Krastev,22081455.0,12.35,12.65,12.35,12.25,12.75,12.85
Frank Onyeka,27129125.0,14.0,13.8,14.0,13.15,13.4,13.55
Lamine Silva,2000438826.0,12.8,12.2,12.8,12.35,12.55,12.15
Lee Sang-Hoon,2000495264.0,11.7,12.1,11.7,12.1,12.0,13.1
Alexander Villarreal,2000499325.0,13.1,13.9,13.1,12.9,13.25,14.0
