Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Jan Oblak,64016316.0,6.67,9.25,6.5,13.33,6.5,8.83,8.0,14.33
Marc Jurado,2000032704.0,12.33,14.0,17.0,12.33,11.0,14.33,9.5,12.0
Nehuén Pérez,14181374.0,16.0,15.0,15.5,10.33,10.0,10.67,13.5,15.33
Malang Sarr,48036830.0,14.0,15.5,15.5,13.0,11.67,13.0,13.5,14.5
Gonzalo Sánchez,2000416515.0,12.67,16.0,18.0,11.0,11.33,13.33,9.5,14.17
Simone Panada,43425634.0,12.67,15.0,13.5,15.33,10.67,13.33,10.5,13.5
0,62127037.0,11.0,14.5,11.5,16.67,15.0,15.0,16.0,15.17
Nikola Stanković,2000211075.0,7.33,14.88,17.75,14.0,11.83,14.67,11.5,12.58
Manoel Azambuja,2000410625.0,11.67,15.38,16.0,17.0,16.67,17.33,11.0,14.42
João Félix,83169822.0,5.67,13.25,12.5,17.33,17.0,17.0,9.0,14.33
Oğuz Civelek,2000232509.0,7.17,16.0,16.5,13.33,16.67,15.5,13.5,12.83
Pierre Dwomoh,2000006277.0,8.0,13.25,14.5,15.33,13.67,16.0,13.5,13.33
Matteo Godfroid,18114989.0,5.33,11.75,12.0,8.5,6.0,7.33,13.0,10.67
Juan Manuel,2000510085.0,12.33,15.75,14.0,11.33,10.0,15.33,7.5,13.83
Thomas Lemar,85093001.0,7.33,12.0,14.0,15.67,13.33,16.0,6.0,12.67
Lorenzo Granelli,2000437491.0,7.67,16.75,15.5,13.67,15.67,16.33,12.0,13.5
José Giménez,78060464.0,15.67,11.0,10.0,11.0,11.0,11.33,13.5,15.83
Marcos Llorente,67196198.0,13.33,12.0,11.5,13.33,12.33,12.0,10.5,14.33
Dimo Krastev,22081455.0,13.33,14.62,13.25,14.0,11.67,11.67,16.0,11.75
Frank Onyeka,27129125.0,13.83,14.62,17.25,12.67,12.83,11.67,12.0,14.25
Lamine Silva,2000438826.0,15.0,16.25,12.5,11.0,8.83,10.67,12.75,14.58
0,2000495264.0,5.33,15.5,16.5,11.0,9.67,13.67,13.0,10.33
Alexander Villarreal,2000499325.0,6.67,14.5,15.5,14.17,10.17,13.83,7.0,11.17
