Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Jan Oblak,64016316,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Jurado,2000032704,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Nehuén Pérez,14181374,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Malang Sarr,48036830,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Gonzalo Sánchez,2000416515,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Simone Panada,43425634,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Sergej Milinković-Savić,62127037,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Nikola Stanković,2000211075,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Manoel Azambuja,2000410625,0,0,0,0,0,0,0,0,1,0,1,1,1,0
João Félix,83169822,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Oğuz Civelek,2000232509,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pierre Dwomoh,2000006277,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Matteo Godfroid,18114989,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Manuel,2000510085,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Thomas Lemar,85093001,0,0,0,1,0,0,0,1,1,1,1,1,1,0
Lorenzo Granelli,2000437491,0,0,0,0,0,0,0,0,0,0,0,0,0,1
José Giménez,78060464,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Marcos Llorente,67196198,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Dimo Krastev,22081455,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Frank Onyeka,27129125,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Lamine Silva,2000438826,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Lee Sang-Hoon,2000495264,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Alexander Villarreal,2000499325,0,0,0,0,0,0,0,1,0,0,1,1,0,0
