Player,UID,DM,AM,BWM,HB,SV,RGA
Javi Izquierdo,67288498.0,9.85,9.7,9.7,10.7,9.6,9.95
Ryan Johansson,90086790.0,12.65,12.75,12.75,12.45,12.7,12.05
Rasmus Lauritsen,27069979.0,13.7,13.95,13.95,13.85,12.8,11.35
Gabriel Torres,2000438016.0,13.1,13.5,13.5,14.1,12.1,10.1
Braian Cufré,14131295.0,12.5,12.6,12.6,12.65,12.5,13.05
Àlex Collado,67246435.0,9.35,9.1,9.1,9.05,9.85,13.0
John McGinn,61043070.0,13.1,13.0,13.0,13.3,13.15,13.9
Che Nunnely,37055838.0,8.8,8.6,8.6,9.45,9.3,11.2
Amarildo Gojani,2000505067.0,9.4,9.1,9.1,8.7,10.3,13.4
Freddy Vargas,86061304.0,11.1,11.0,11.0,11.5,11.1,12.9
Ángel Cabello,2000438822.0,11.25,11.6,11.6,10.6,11.5,13.15
Aarón Escandell,67192427.0,9.65,9.7,9.7,10.6,8.75,8.05
Víctor Gómez,67257950.0,12.3,12.3,12.3,11.85,11.7,11.85
Olaus Skarsem,89051875.0,8.1,8.25,8.25,8.1,9.95,11.95
Javier Pascua,2000573866.0,8.25,7.95,7.95,8.15,9.0,11.35
Gianluca Bellucci,2000508898.0,10.9,10.7,10.7,10.7,11.2,11.8
Rodrigo Zalazar,67271371.0,11.9,11.8,11.8,12.1,11.95,12.1
Ifeanyi Mathew,53141633.0,12.2,12.3,12.3,12.05,12.7,13.55
Patric,67100019.0,13.15,13.8,13.8,14.35,13.4,13.5
Óscar Clemente,67259874.0,11.75,11.4,11.4,11.35,12.65,13.25
Sergi Rosanas,67265793.0,11.8,11.85,11.85,12.4,12.0,11.6
Nils Mortimer,67265795.0,8.3,7.85,7.85,8.6,9.35,11.95
Fran López,67279609.0,10.35,9.45,9.45,9.7,10.7,12.5
Álvaro Santamaría,67298126.0,10.0,10.25,10.25,10.3,9.8,10.6
Miguel,2000192899.0,10.0,10.35,10.35,10.3,10.0,12.3
Dominik Kruzliak,63026929.0,13.65,13.65,13.65,13.85,12.6,10.1
Sebastián Cabrera,75036622.0,13.05,12.85,12.85,12.95,12.8,12.5
