Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Javi Izquierdo,67288498,11.88,9.72,9.72,9.96,9.27,9.27,9.54,8.92,8.92,9.32,8.76,8.76,9.13,8.64
Ryan Johansson,90086790,12.03,12.02,12.02,11.91,12.08,12.08,12.15,11.98,11.98,12.16,11.96,11.96,12.03,11.58
Rasmus Lauritsen,27069979,13.31,12.48,12.48,12.98,12.07,12.07,12.06,11.52,11.52,11.78,11.46,11.46,11.56,11.59
Gabriel Torres,2000438016,12.72,11.88,11.88,12.35,11.36,11.36,11.51,10.74,10.74,10.9,10.82,10.82,10.77,10.86
Braian Cufré,14131295,12.62,12.21,12.21,11.68,12.36,12.36,12.26,12.29,12.29,12.49,12.36,12.36,12.47,11.59
Àlex Collado,67246435,11.75,11.45,11.45,10.37,11.84,11.84,11.39,12.3,12.3,11.92,12.38,12.38,12.43,11.79
John McGinn,61043070,12.42,12.54,12.54,12.07,12.71,12.71,12.96,12.83,12.83,13.19,12.71,12.71,13.03,12.3
Che Nunnely,37055838,11.92,11.38,11.38,10.32,11.83,11.83,11.09,12.3,12.3,11.58,12.54,12.54,12.2,11.94
Amarildo Gojani,2000505067,11.45,11.72,11.72,10.95,12.25,12.25,11.88,12.75,12.75,12.62,12.85,12.85,13.01,12.71
Freddy Vargas,86061304,12.35,12.01,12.01,11.26,12.34,12.34,11.96,12.6,12.6,12.35,12.64,12.64,12.57,12.08
Ángel Cabello,2000438822,12.75,12.52,12.52,12.1,12.8,12.8,12.4,13.12,13.12,13.08,13.18,13.18,13.3,13.3
Aarón Escandell,67192427,10.84,8.67,8.67,8.88,8.25,8.25,8.43,7.85,7.85,8.18,7.64,7.64,8.02,7.6
Víctor Gómez,67257950,12.23,11.95,11.95,11.46,12.13,12.13,11.81,11.93,11.93,11.81,12.05,12.05,11.9,11.09
Olaus Skarsem,89051875,10.37,10.11,10.11,9.05,10.54,10.54,10.19,11.01,11.01,10.81,11.13,11.13,11.25,10.63
Javier Pascua,2000573866,11.0,10.76,10.76,9.84,11.2,11.2,10.75,11.56,11.56,11.39,11.69,11.69,11.88,11.61
Gianluca Bellucci,2000508898,11.28,11.6,11.6,11.08,11.95,11.95,11.68,12.06,12.06,11.89,12.14,12.14,12.06,11.72
Rodrigo Zalazar,67271371,11.85,11.77,11.77,11.37,11.9,11.9,11.66,11.95,11.95,12.02,11.9,11.9,12.0,11.62
Ifeanyi Mathew,53141633,12.15,12.13,12.13,11.51,12.28,12.28,12.33,12.38,12.38,12.67,12.31,12.31,12.62,12.02
Patric,67100019,11.66,11.0,11.0,11.54,10.65,10.65,11.34,10.49,10.49,11.2,10.15,10.15,10.52,10.35
Óscar Clemente,67259874,12.44,12.27,12.27,11.73,12.39,12.39,12.45,12.58,12.58,12.77,12.57,12.57,12.79,12.29
Sergi Rosanas,67265793,12.71,12.2,12.2,11.82,12.3,12.3,12.14,12.23,12.23,11.99,12.33,12.33,12.09,11.54
Nils Mortimer,67265795,11.74,11.1,11.1,10.44,11.48,11.48,10.91,11.93,11.93,11.39,12.15,12.15,12.04,12.37
Fran López,67279609,12.05,11.81,11.81,11.4,12.02,12.02,11.93,12.36,12.36,12.25,12.51,12.51,12.56,12.61
Álvaro Santamaría,67298126,11.65,11.27,11.27,11.03,11.43,11.43,10.9,11.55,11.55,11.27,11.76,11.76,11.63,12.12
Miguel,2000192899,12.4,11.95,11.95,10.76,12.42,12.42,11.56,12.58,12.58,12.34,12.83,12.83,12.84,12.04
Dominik Kruzliak,63026929,12.41,11.08,11.08,11.82,10.43,10.43,11.09,9.91,9.91,10.53,9.52,9.52,9.97,9.93
Sebastián Cabrera,75036622,13.13,12.73,12.73,12.46,12.74,12.74,12.63,12.63,12.63,12.6,12.6,12.6,12.48,11.88
