Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Martín Alonso,2000681854,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Pascual,2000632678,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Iván,2000574699,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mati,2000556504,0,0,0,0,1,0,0,0,1,1,1,0,1,1
Ale Sánchez,2000512877,0,0,1,0,0,1,0,0,1,1,1,1,1,0
Christian Díaz,2000510073,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Jesus,2000443702,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Jaume Ramón,2000198629,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Añibarro,2000035882,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Josh Pérez,72046491,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Jesús María Lope,2000680621,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ramón López,2000679928,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Roger Colomina,2000015276,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Jesús García,2000443709,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Eugenio,2000196447,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Javier Vidorreta,2000066246,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Ángel Rueda,2000053923,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gustavo Abizanda,67293305,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Óscar Coll,67277671,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Iván Gil,67277668,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Jeremy Socorro,67275291,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Esteban Navarro,2000685451,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Txomin Zubiri,2000439530,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Ramón Acosta,2000680229,0,0,0,0,0,0,0,0,0,1,0,0,1,0
