Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Martín Alonso,2000681854.0,10.33,10.15,9.07,10.58,9.95,10.85,10.23,11.14,10.56,10.44
Pascual,2000632678.0,8.34,8.88,7.71,9.44,8.33,10.02,9.65,10.44,10.41,10.68
Iván,2000574699.0,5.26,6.78,6.28,7.28,6.91,7.01,7.25,7.2,7.41,6.7
Mati,2000556504.0,10.38,10.34,10.4,10.31,9.98,9.88,9.78,10.04,9.77,9.71
Ale Sánchez,2000512877.0,8.71,8.6,7.55,9.15,8.22,9.5,8.95,9.76,9.38,9.06
Christian Díaz,2000510073.0,11.86,10.45,10.76,9.94,10.0,9.3,9.84,9.46,9.61,8.95
Jesus,2000443702.0,5.67,7.22,6.43,7.93,7.16,8.32,8.32,8.64,8.59,8.7
Jaume Ramón,2000198629.0,8.87,6.3,7.0,5.78,5.73,5.43,5.48,5.46,5.42,5.45
Aitor Añibarro,2000035882.0,8.02,7.99,7.07,8.39,7.65,8.94,8.66,9.36,9.34,9.61
Josh Pérez,72046491.0,8.72,8.55,7.51,8.99,8.28,9.54,8.95,9.8,9.5,9.49
Jesús María Lope,2000680621.0,7.05,7.88,8.76,7.59,7.54,6.49,6.84,6.68,6.57,6.68
Ramón López,2000679928.0,4.57,5.96,5.26,6.68,5.99,7.07,7.0,7.61,7.43,7.33
Roger Colomina,2000015276.0,6.98,7.48,6.38,8.01,7.45,8.65,8.73,9.0,9.06,8.52
Jesús García,2000443709.0,7.75,7.57,8.39,7.19,7.39,6.31,6.9,6.24,6.45,6.35
Eugenio,2000196447.0,10.43,10.01,10.1,9.85,9.76,9.31,9.7,9.41,9.67,8.96
Javier Vidorreta,2000066246.0,8.42,8.77,8.05,9.09,8.34,9.43,8.94,9.76,9.57,10.54
Ángel Rueda,2000053923.0,10.83,9.8,10.65,9.19,9.22,8.1,8.26,8.33,8.13,8.0
Gustavo Abizanda,67293305.0,9.6,9.37,8.15,9.86,9.07,10.26,9.72,10.45,10.22,9.54
Óscar Coll,67277671.0,7.82,8.18,6.65,8.94,8.14,9.55,9.5,9.75,9.9,8.85
Iván Gil,67277668.0,9.49,9.2,7.95,9.65,9.33,10.17,10.13,10.3,10.57,9.42
Jeremy Socorro,67275291.0,10.87,9.96,9.63,9.78,9.74,9.36,9.54,9.64,9.67,8.77
Esteban Navarro,2000685451.0,4.17,6.27,5.74,6.7,6.35,6.52,6.63,6.86,6.79,6.42
Txomin Zubiri,2000439530.0,10.11,7.33,7.37,6.83,6.85,6.38,6.62,6.13,6.36,5.82
Juan Ramón Acosta,2000680229.0,8.96,8.43,7.34,8.9,8.18,9.23,8.78,9.43,9.33,8.99
