Player,UID,Position
Martín Alonso,2000681854,"M (C), AM (RC)"
Pascual,2000632678,"AM (RC), ST (C)"
Iván,2000574699,"DM, M (C)"
Mati,2000556504,"WB (R), M (LC), AM (RL), ST (C)"
Ale Sánchez,2000512877,"D (C), DM, M (LC), AM (RLC)"
Christian Díaz,2000510073,"D (RC), M (C)"
Jesus,2000443702,"AM (RC), ST (C)"
Jaume Ramón,2000198629,GK
Aitor Añibarro,2000035882,"AM (C), ST (C)"
Josh Pérez,72046491,"M (R), AM (RL)"
Jesús María Lope,2000680621,D (C)
Ramón López,2000679928,"M (C), AM (RC)"
Roger Colomina,2000015276,M/AM (C)
Jesús García,2000443709,"D (RC), WB (RL)"
Eugenio,2000196447,"D (RL), WB (R), AM (C)"
Javier Vidorreta,2000066246,"AM (R), ST (C)"
Ángel Rueda,2000053923,D (C)
Gustavo Abizanda,67293305,"M/AM (L), ST (C)"
Óscar Coll,67277671,M/AM (C)
Iván Gil,67277668,M/AM (C)
Jeremy Socorro,67275291,D/WB (L)
Esteban Navarro,2000685451,D/WB (L)
Txomin Zubiri,2000439530,GK
Juan Ramón Acosta,2000680229,M/AM (L)
