Player,UID,DM,AM,BWM,HB,SV,RGA
Martín Alonso,2000681854.0,8.85,9.95,9.95,11.35,9.25,8.55
Pascual,2000632678.0,4.6,4.4,4.4,5.0,5.7,8.8
Iván,2000574699.0,6.5,7.4,7.4,7.2,6.5,5.75
Mati,2000556504.0,10.55,9.75,9.75,10.65,10.2,8.85
Ale Sánchez,2000512877.0,6.35,6.25,6.25,7.45,6.95,8.6
Christian Díaz,2000510073.0,12.1,12.4,12.4,13.0,10.3,8.9
Jesus,2000443702.0,5.65,4.1,4.1,4.85,6.35,8.2
Jaume Ramón,2000198629.0,5.3,4.25,4.25,5.5,5.25,4.9
Aitor Añibarro,2000035882.0,4.45,3.95,3.95,4.45,4.35,7.35
Josh Pérez,72046491.0,6.2,6.2,6.2,6.6,6.4,8.6
Jesús María Lope,2000680621.0,11.2,11.2,11.2,10.3,10.7,6.8
Ramón López,2000679928.0,4.4,3.3,3.3,4.4,4.5,6.8
Roger Colomina,2000015276.0,4.85,4.95,4.95,4.85,5.25,8.5
Jesús García,2000443709.0,10.65,9.55,9.55,9.3,9.2,7.2
Eugenio,2000196447.0,10.4,9.9,9.9,9.8,10.3,10.2
Javier Vidorreta,2000066246.0,6.6,6.3,6.3,6.7,6.5,7.8
Ángel Rueda,2000053923.0,10.7,9.95,9.95,10.5,9.35,5.75
Gustavo Abizanda,67293305.0,7.2,6.4,6.4,7.4,7.1,10.4
Óscar Coll,67277671.0,4.75,4.35,4.35,5.5,6.05,9.1
Iván Gil,67277668.0,6.5,5.8,5.8,7.3,7.5,9.8
Jeremy Socorro,67275291.0,9.7,9.5,9.5,9.6,9.4,9.6
Esteban Navarro,2000685451.0,6.1,6.8,6.8,6.4,6.5,6.4
Txomin Zubiri,2000439530.0,8.6,7.9,7.9,8.3,7.0,6.8
Juan Ramón Acosta,2000680229.0,6.35,5.95,5.95,6.25,6.05,9.15
