Player,UID,Position
Miquel Parera,67199250,GK
Juan Pablo,2000574059,M/AM (C)
Bakary Daou,2000515163,"D (C), DM, M (C)"
Joan Rojas,67276123,"D (LC), DM"
Diego Pampín,67247255,"D/WB/M (L), AM (RL)"
Julio Gracia,67237836,M (C)
Antonio Cotán,67157612,"DM, M/AM (C)"
Salia Coulibaly,2000443795,"AM (RL), ST (C)"
Humberto Alonso,2000196451,M/AM (C)
Castri,67294959,"M (RLC), AM (RL), ST (C)"
Ander Azparren,2000199803,"M/AM (R), ST (C)"
Tom Ahlvers,2000197803,GK
Asier Pinillos,2000574064,"DM, M (RC)"
Lorenzo Sánchez,2000034331,ST (C)
Gorka Ormaetxea,2000574661,"AM (RC), ST (C)"
Kevin,2000199813,"M (R), AM (C), ST (C)"
Asier,2000574060,"AM (RL), ST (C)"
Olivier Six,2000737738,"AM (R), ST (C)"
Marcelo Djaló,67157156,D (C)
Juan José,2000200474,"D (C), DM, M (C)"
Luis Jiménez,2000441678,D/WB (R)
Mikel Muñoz,2000710316,M/AM (C)
