Player,UID,CD,BPD,NNCB,Lib
Miquel Parera,67199250.0,8.75,8.05,8.45,8.0
Juan Pablo,2000574059.0,10.2,9.8,9.9,8.45
Bakary Daou,2000515163.0,12.5,11.4,11.7,9.2
Joan Rojas,67276123.0,12.35,11.9,12.2,11.0
Diego Pampín,67247255.0,8.35,8.5,8.2,10.3
Julio Gracia,67237836.0,6.8,7.7,7.5,10.3
Antonio Cotán,67157612.0,8.8,9.0,8.9,11.8
Salia Coulibaly,2000443795.0,7.9,7.6,8.0,9.2
Humberto Alonso,2000196451.0,7.05,7.95,6.85,9.85
Castri,67294959.0,6.7,7.55,6.45,8.15
Ander Azparren,2000199803.0,7.55,6.95,7.55,8.25
Tom Ahlvers,2000197803.0,6.6,6.4,6.6,4.5
Asier Pinillos,2000574064.0,10.9,10.7,10.3,11.05
Lorenzo Sánchez,2000034331.0,6.1,6.4,6.5,7.2
Gorka Ormaetxea,2000574661.0,5.8,7.2,5.5,6.3
Kevin,2000199813.0,8.1,8.8,7.7,8.7
Asier,2000574060.0,6.55,6.6,6.35,7.35
Olivier Six,2000737738.0,6.45,7.6,6.6,7.85
Marcelo Djaló,67157156.0,12.6,12.4,12.3,12.7
Juan José,2000200474.0,12.05,10.2,11.6,7.35
Luis Jiménez,2000441678.0,11.35,10.0,10.55,8.7
Mikel Muñoz,2000710316.0,4.5,5.75,4.9,6.9
