Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Miquel Parera,67199250.0,11.4,9.24,9.24,9.02,8.9,8.62,8.85,8.64,8.93,8.1
Juan Pablo,2000574059.0,10.9,10.06,9.49,9.98,9.76,10.16,9.79,10.22,9.96,10.04
Bakary Daou,2000515163.0,12.09,11.06,11.48,10.52,10.71,9.75,10.27,9.84,9.94,9.36
Joan Rojas,67276123.0,11.45,10.92,11.32,10.58,10.76,10.15,10.39,10.27,10.36,9.93
Diego Pampín,67247255.0,10.23,10.19,9.49,10.51,10.11,10.63,10.23,10.87,10.53,9.9
Julio Gracia,67237836.0,9.57,9.7,9.09,9.88,9.69,9.9,10.26,9.94,10.29,9.36
Antonio Cotán,67157612.0,11.28,10.01,9.69,9.98,10.34,10.07,10.76,9.85,10.57,9.47
Salia Coulibaly,2000443795.0,11.2,10.66,9.46,11.12,10.3,11.11,10.93,11.32,11.29,10.41
Humberto Alonso,2000196451.0,10.98,10.93,9.62,11.59,10.95,12.07,11.58,12.2,12.2,11.75
Castri,67294959.0,10.13,9.68,9.14,9.92,9.47,10.45,10.02,10.63,10.4,10.37
Ander Azparren,2000199803.0,10.77,9.93,9.1,10.21,9.49,10.67,10.14,10.98,10.85,11.03
Tom Ahlvers,2000197803.0,9.65,6.63,7.1,6.01,6.02,5.64,5.72,5.58,5.61,5.4
Asier Pinillos,2000574064.0,10.78,10.73,10.22,10.75,10.86,10.54,10.8,10.56,10.63,9.83
Lorenzo Sánchez,2000034331.0,9.22,9.46,8.25,9.96,9.09,10.38,9.81,11.0,10.71,11.09
Gorka Ormaetxea,2000574661.0,7.83,8.64,7.71,9.22,8.23,9.98,9.55,10.31,10.0,10.3
Kevin,2000199813.0,8.8,8.99,8.46,9.31,8.96,9.68,9.42,9.67,9.77,10.25
Asier,2000574060.0,10.35,9.92,9.07,10.33,9.69,10.6,10.28,10.79,10.76,10.47
Olivier Six,2000737738.0,9.62,9.76,8.72,10.3,9.61,10.74,10.51,10.66,10.65,10.67
Marcelo Djaló,67157156.0,9.7,9.54,10.34,9.07,10.09,9.21,9.98,8.85,9.39,9.12
Juan José,2000200474.0,11.58,10.07,10.47,9.55,9.49,8.74,8.94,8.88,8.71,8.49
Luis Jiménez,2000441678.0,12.32,10.81,10.66,10.52,10.14,9.96,10.14,10.2,10.19,9.72
Mikel Muñoz,2000710316.0,9.25,9.39,7.84,10.05,9.15,10.77,10.58,10.94,10.96,10.34
