Player,UID,AF,CF,DLF,F9,P,PF,TM
Miquel Parera,67199250.0,8.55,7.0,9.4,8.35,8.55,8.4,7.8
Juan Pablo,2000574059.0,9.4,9.6,10.3,9.7,9.4,9.6,10.65
Bakary Daou,2000515163.0,9.0,8.1,9.4,7.6,9.0,10.1,10.3
Joan Rojas,67276123.0,9.35,9.65,10.45,9.35,9.35,9.85,9.9
Diego Pampín,67247255.0,10.75,9.4,9.45,10.25,10.75,10.25,8.05
Julio Gracia,67237836.0,10.3,9.8,10.6,10.3,10.3,10.7,8.1
Antonio Cotán,67157612.0,9.25,10.65,12.0,11.55,9.25,9.4,8.6
Salia Coulibaly,2000443795.0,11.5,9.9,10.5,10.4,11.5,12.4,9.4
Humberto Alonso,2000196451.0,13.7,11.8,13.2,13.1,13.7,11.9,11.3
Castri,67294959.0,11.35,9.7,10.55,11.05,11.35,8.95,9.35
Ander Azparren,2000199803.0,12.7,9.9,11.0,11.0,12.7,10.0,9.5
Tom Ahlvers,2000197803.0,5.15,3.2,4.7,3.9,5.15,4.1,4.65
Asier Pinillos,2000574064.0,9.4,10.1,10.45,9.8,9.4,10.7,9.8
Lorenzo Sánchez,2000034331.0,12.8,10.5,10.1,9.9,12.8,11.5,9.7
Gorka Ormaetxea,2000574661.0,10.5,10.4,10.3,10.3,10.5,9.0,11.2
Kevin,2000199813.0,10.8,11.0,12.3,11.3,10.8,10.0,12.1
Asier,2000574060.0,11.4,9.55,10.45,10.3,11.4,10.75,9.3
Olivier Six,2000737738.0,11.5,11.15,12.1,11.35,11.5,10.7,11.05
Marcelo Djaló,67157156.0,7.1,11.2,10.8,11.0,7.1,8.1,10.4
Juan José,2000200474.0,8.15,6.0,7.8,5.85,8.15,9.2,8.9
Luis Jiménez,2000441678.0,10.2,8.1,9.8,8.1,10.2,10.5,10.3
Mikel Muñoz,2000710316.0,11.15,11.0,11.95,11.5,11.15,11.1,10.65
