Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Miquel Parera,67199250.0,15.5,9.25,11.0,11.25,12.0,12.0,10.75,13.0
Juan Pablo,2000574059.0,0.0,11.0,10.5,13.33,0.0,0.0,0.0,0.0
Bakary Daou,2000515163.0,0.0,13.75,12.5,12.17,0.0,0.0,0.0,0.0
Joan Rojas,67276123.0,2.25,10.5,12.75,12.33,2.5,2.0,3.25,3.25
Diego Pampín,67247255.0,2.0,8.75,14.0,10.67,2.5,3.5,3.5,2.75
Julio Gracia,67237836.0,3.5,8.0,12.0,9.67,2.0,3.0,2.0,2.5
Antonio Cotán,67157612.0,3.0,7.12,8.5,13.5,2.0,3.5,2.5,2.0
Salia Coulibaly,2000443795.0,3.0,12.0,15.0,10.83,3.0,3.0,2.5,2.0
Humberto Alonso,2000196451.0,2.5,13.75,14.0,10.67,3.0,1.5,4.0,4.0
Castri,67294959.0,2.25,10.25,13.0,9.17,3.25,3.5,3.25,2.5
Ander Azparren,2000199803.0,3.25,11.0,12.5,11.17,2.75,4.0,2.0,3.5
Tom Ahlvers,2000197803.0,16.0,6.12,9.75,7.83,10.5,4.5,8.75,5.5
Asier Pinillos,2000574064.0,1.5,10.12,11.5,12.67,2.5,2.0,3.75,3.25
Lorenzo Sánchez,2000034331.0,0.0,11.0,14.5,9.67,0.0,0.0,0.0,0.0
Gorka Ormaetxea,2000574661.0,0.0,12.25,13.0,6.33,0.0,0.0,0.0,0.0
Kevin,2000199813.0,0.0,11.25,8.5,10.67,0.0,0.0,0.0,0.0
Asier,2000574060.0,2.5,10.75,13.0,9.33,3.0,2.0,2.0,2.25
Olivier Six,2000737738.0,0.0,13.38,10.25,10.17,0.0,0.0,0.0,0.0
Marcelo Djaló,67157156.0,2.75,4.12,5.25,14.08,2.5,2.5,3.0,3.0
Juan José,2000200474.0,0.0,12.25,11.75,12.42,0.0,0.0,0.0,0.0
Luis Jiménez,2000441678.0,0.0,13.5,14.5,13.25,0.0,0.0,0.0,0.0
Mikel Muñoz,2000710316.0,0.0,12.5,15.25,7.5,0.0,0.0,0.0,0.0
