Player,UID,AF,CF,DLF,F9,P,PF,TM
Ramón Juan,67258716.0,7.0,5.6,7.75,6.8,7.0,7.35,5.65
Dani,2000571661.0,8.45,8.75,10.7,9.8,8.45,9.85,9.9
Luis Alberto,2000197811.0,9.4,7.25,8.7,6.85,9.4,10.1,9.95
Juan Luis,2000664823.0,9.9,9.65,10.85,9.5,9.9,11.15,11.1
David Carmona,67188934.0,11.0,10.1,11.0,11.5,11.0,10.9,9.5
Gorka Iglesias,2000570645.0,10.4,9.4,10.5,9.8,10.4,10.2,10.4
Chisom Abdul,2000573849.0,11.7,11.4,13.0,11.4,11.7,11.15,12.3
Carlos Dotor,67293616.0,11.9,12.2,12.5,11.2,11.9,12.0,12.4
Higinio Zarzo,2000192890.0,11.5,10.8,11.9,11.0,11.5,10.7,10.7
Matti Ahonen,2000515148.0,13.4,11.6,11.4,10.9,13.4,12.8,11.5
Juanma Hernández,2000053164.0,12.1,13.5,13.6,12.5,12.1,12.0,13.6
Pablo Picón,67277686.0,6.4,4.0,6.75,4.75,6.4,4.6,5.75
Pablo Sanz,2000685487.0,5.6,7.1,7.1,4.8,5.6,9.25,7.1
Amadou Camara,2000201329.0,11.6,11.0,11.6,11.8,11.6,11.2,10.9
Lancho,2000052042.0,11.4,10.2,10.3,10.8,11.4,10.7,12.0
Yeray Zabalo,2000438356.0,10.1,9.3,9.4,8.0,10.1,12.35,10.75
Xabier Garitano,2000570830.0,9.0,8.5,8.6,6.8,9.0,10.9,11.3
Marcos Trabanco,2000016812.0,11.9,10.6,10.4,11.0,11.9,12.0,10.0
Emmanuel Attipoe,13210212.0,9.25,8.35,6.5,8.55,9.25,10.1,7.65
Ángel Alcalde,2000573845.0,4.3,9.15,6.45,5.95,4.3,8.7,7.35
Daniel,2000632726.0,10.05,10.9,11.35,11.15,10.05,10.35,11.3
Toni Moya,67223078.0,11.5,12.3,13.45,12.4,11.5,12.55,11.9
Christian Revuelta,2000632723.0,10.3,9.8,10.8,10.7,10.3,9.8,9.4
