Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Ramón Juan,67258716,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dani,2000571661,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Luis Alberto,2000197811,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Juan Luis,2000664823,0,0,1,1,0,0,0,0,1,0,0,0,0,0
David Carmona,67188934,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Gorka Iglesias,2000570645,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Chisom Abdul,2000573849,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Carlos Dotor,67293616,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Higinio Zarzo,2000192890,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Matti Ahonen,2000515148,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Juanma Hernández,2000053164,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pablo Picón,67277686,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Sanz,2000685487,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Amadou Camara,2000201329,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Lancho,2000052042,0,0,0,1,0,0,1,0,0,0,0,0,1,1
Yeray Zabalo,2000438356,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Xabier Garitano,2000570830,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Marcos Trabanco,2000016812,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Emmanuel Attipoe,13210212,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ángel Alcalde,2000573845,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Daniel,2000632726,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Toni Moya,67223078,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Christian Revuelta,2000632723,0,0,0,0,0,0,0,0,0,0,1,1,1,1
