Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Ramón Juan,67258716.0,6.85,6.85,6.85,6.85,5.75,5.75,6.25,6.25,5.42,5.42
Dani,2000571661.0,9.35,9.35,9.35,9.35,9.95,9.95,8.35,8.35,10.17,10.17
Luis Alberto,2000197811.0,7.8,7.8,7.8,7.8,8.25,8.25,7.8,7.8,8.92,8.92
Juan Luis,2000664823.0,9.65,9.65,9.65,9.65,9.5,9.5,9.7,9.7,10.0,10.0
David Carmona,67188934.0,12.2,12.2,12.2,12.2,12.2,12.2,11.7,11.7,11.5,11.5
Gorka Iglesias,2000570645.0,10.2,10.2,10.2,10.2,10.6,10.6,10.0,10.0,10.75,10.75
Chisom Abdul,2000573849.0,11.2,11.2,11.2,11.2,11.8,11.8,10.3,10.3,11.54,11.54
Carlos Dotor,67293616.0,11.3,11.3,11.3,11.3,11.2,11.2,11.2,11.2,11.25,11.25
Higinio Zarzo,2000192890.0,11.4,11.4,11.4,11.4,11.1,11.1,10.8,10.8,11.33,11.33
Matti Ahonen,2000515148.0,11.9,11.9,11.9,11.9,12.1,12.1,12.2,12.2,12.08,12.08
Juanma Hernández,2000053164.0,12.3,12.3,12.3,12.3,10.9,10.9,12.6,12.6,10.92,10.92
Pablo Picón,67277686.0,4.2,4.2,4.2,4.2,3.45,3.45,4.2,4.2,3.88,3.88
Pablo Sanz,2000685487.0,6.6,6.6,6.6,6.6,5.2,5.2,6.6,6.6,5.75,5.75
Amadou Camara,2000201329.0,12.1,12.1,12.1,12.1,11.7,11.7,11.6,11.6,11.5,11.5
Lancho,2000052042.0,10.0,10.0,10.0,10.0,12.1,12.1,10.5,10.5,12.42,12.42
Yeray Zabalo,2000438356.0,9.5,9.5,9.5,9.5,10.7,10.7,9.5,9.5,10.75,10.75
Xabier Garitano,2000570830.0,7.6,7.6,7.6,7.6,9.0,9.0,7.6,7.6,9.83,9.83
Marcos Trabanco,2000016812.0,12.5,12.5,12.5,12.5,12.4,12.4,13.0,13.0,11.5,11.5
Emmanuel Attipoe,13210212.0,8.35,8.35,8.35,8.35,12.35,12.35,7.85,7.85,11.38,11.38
Ángel Alcalde,2000573845.0,7.45,7.45,7.45,7.45,7.2,7.2,7.15,7.15,6.83,6.83
Daniel,2000632726.0,11.05,11.05,11.05,11.05,9.6,9.6,11.45,11.45,10.42,10.42
Toni Moya,67223078.0,12.8,12.8,12.8,12.8,11.9,11.9,11.9,11.9,11.33,11.33
Christian Revuelta,2000632723.0,10.2,10.2,10.2,10.2,11.0,11.0,9.7,9.7,10.25,10.25
