Player,UID,FB,WB,IWB,CWB,NNFB
Ramón Juan,67258716.0,7.55,5.5,6.95,5.73,8.15
Dani,2000571661.0,11.45,9.6,10.9,9.88,12.45
Luis Alberto,2000197811.0,11.4,8.65,9.85,8.62,11.6
Juan Luis,2000664823.0,12.05,10.0,10.85,10.08,12.35
David Carmona,67188934.0,12.4,12.3,12.2,12.08,11.8
Gorka Iglesias,2000570645.0,12.0,11.0,11.3,10.69,11.4
Chisom Abdul,2000573849.0,8.7,7.6,8.75,8.96,7.55
Carlos Dotor,67293616.0,11.5,10.8,11.5,11.15,10.8
Higinio Zarzo,2000192890.0,9.5,9.8,9.4,10.23,8.8
Matti Ahonen,2000515148.0,9.6,9.7,8.7,9.69,7.9
Juanma Hernández,2000053164.0,8.8,8.9,10.0,10.38,8.5
Pablo Picón,67277686.0,5.0,3.45,4.4,3.96,5.0
Pablo Sanz,2000685487.0,10.3,7.8,9.2,8.23,9.85
Amadou Camara,2000201329.0,8.9,9.4,9.1,10.08,9.5
Lancho,2000052042.0,10.7,11.0,9.6,11.0,9.3
Yeray Zabalo,2000438356.0,12.85,10.5,10.9,10.15,12.3
Xabier Garitano,2000570830.0,11.8,9.0,9.7,8.77,12.45
Marcos Trabanco,2000016812.0,9.7,10.2,8.8,10.62,9.3
Emmanuel Attipoe,13210212.0,8.9,10.3,6.65,10.38,5.95
Ángel Alcalde,2000573845.0,7.4,6.9,8.25,8.35,6.1
Daniel,2000632726.0,5.85,6.75,6.9,7.65,7.7
Toni Moya,67223078.0,12.8,11.35,12.85,11.92,12.15
Christian Revuelta,2000632723.0,5.5,7.8,5.7,8.85,5.0
