Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Ramón Juan,67258716.0,11.15,8.23,8.18,7.88,7.99,7.77,7.92,7.57,7.91,6.94
Dani,2000571661.0,12.43,11.21,11.33,10.84,10.81,10.32,10.47,10.16,10.24,9.46
Luis Alberto,2000197811.0,11.36,10.63,10.96,10.27,10.06,9.44,9.55,9.74,9.37,9.38
Juan Luis,2000664823.0,12.61,11.67,11.94,11.22,11.47,10.86,11.02,10.73,10.89,10.65
David Carmona,67188934.0,11.57,11.42,11.22,11.49,11.31,11.33,11.37,11.31,11.22,10.59
Gorka Iglesias,2000570645.0,12.23,11.69,11.73,11.47,11.38,11.11,11.12,11.11,10.94,10.62
Chisom Abdul,2000573849.0,11.15,10.49,9.44,10.79,10.28,11.24,11.09,11.38,11.45,11.15
Carlos Dotor,67293616.0,11.65,11.61,11.55,11.67,11.67,11.7,11.81,11.7,11.81,11.96
Higinio Zarzo,2000192890.0,10.78,10.88,10.32,11.07,10.49,11.17,10.86,11.35,11.23,11.37
Matti Ahonen,2000515148.0,10.38,10.6,9.6,10.98,10.3,11.39,10.91,11.76,11.59,11.98
Juanma Hernández,2000053164.0,9.75,10.24,9.74,10.65,10.37,11.08,11.15,11.0,11.28,11.74
Pablo Picón,67277686.0,9.13,6.64,6.99,6.3,6.18,6.08,5.96,6.15,6.07,6.12
Pablo Sanz,2000685487.0,7.26,8.02,8.6,7.98,8.09,7.2,7.6,7.43,7.3,7.17
Amadou Camara,2000201329.0,11.25,10.47,9.7,10.74,10.45,11.1,10.92,11.19,11.23,10.88
Lancho,2000052042.0,10.26,10.6,10.57,10.7,10.2,10.75,10.13,11.01,10.4,11.17
Yeray Zabalo,2000438356.0,12.42,11.64,11.45,11.47,11.27,10.87,11.0,10.91,10.87,10.4
Xabier Garitano,2000570830.0,10.66,9.98,10.39,9.59,9.62,8.91,9.13,8.97,8.84,9.19
Marcos Trabanco,2000016812.0,10.11,10.16,8.93,10.57,10.13,10.82,10.39,11.05,10.71,10.64
Emmanuel Attipoe,13210212.0,7.42,8.52,6.99,9.27,8.4,9.8,8.91,10.29,9.57,8.64
Ángel Alcalde,2000573845.0,4.51,6.55,5.6,7.19,6.99,7.12,7.51,7.22,7.52,6.6
Daniel,2000632726.0,9.66,9.19,8.85,9.27,9.09,9.86,9.73,9.64,9.86,10.31
Toni Moya,67223078.0,12.56,12.23,11.76,12.36,12.38,12.26,12.53,12.22,12.42,11.64
Christian Revuelta,2000632723.0,8.62,8.55,7.16,9.17,8.27,9.93,9.51,10.05,9.91,9.6
