Player,UID,Position
Eljif Elmas,47064795,M/AM (LC)
Domenico Cifeca,2000627365,D (C)
Rui Castro,2000434830,M/AM (C)
Rui Quintanilha,2000567666,"D (RL), WB (R), DM, M (R)"
Giuseppe Fieramonti,2000507377,"AM (RC), ST (C)"
Andrea Marras,2000436326,M/AM (C)
Jaroslav Rusnak,2000434077,"M (R), AM (RC), ST (C)"
Maurizio Tagliani,2000434020,M/AM (R)
Ivan Stanić,2000431844,"DM, M (C)"
Facundo Duffard,2000418611,"AM (R), ST (C)"
Diego Valdés,2000415618,"AM (C), ST (C)"
Peter Toth,2000290755,M/AM (C)
Victor De Martino,2000193930,"WB (R), M (C)"
Agostino Santoni,2000193927,"D (RLC), DM"
Carlos Peña,2000192897,D/WB (R)
Nélio Viveiros,2000192852,"AM (RC), ST (C)"
Andrea Merli,2000192307,WB/AM (L)
Russel Abega,2000188792,"D (RC), WB (R), DM"
Fabián Luzzi,2000048404,"AM (C), ST (C)"
Marco Friedl,91143703,"D (LC), WB (L), M (C)"
Alessandro Ruggiu,43500722,GK
Giovanni Di Lorenzo,43075156,"D (RLC), WB (RL), DM, M (R)"
Rohan Evans,2000567837,D (LC)
Alê,2000369925,"D (RC), M (C)"
Matteo Lovato,43318558,D (C)
Matheus Fernandes,19250978,"DM, M (C)"
Luca Pellegrini,43252226,D/WB/M (L)
Marc Roca,67211094,"D (C), DM, M (C)"
Óscar Aranda,2000052060,"M (L), AM (RL), ST (C)"
Wojciech Szczęsny,28009478,GK
Emiliano Gomez,2000627371,"AM (L), ST (C)"
Pau López,67178152,GK
Željko Spasić,2000211135,"M/AM (C), ST (C)"
Maxi Gómez,78078886,ST (C)
Aníbal Moreno,14204631,"DM, M/AM (C)"
Mady Camara,89058721,"DM, M/AM (C)"
Patrick Anonam,2000194988,D (RC)
Giuseppe Andretta,2000567838,D (C)
Ibrahim Irié Bi,2000567842,"AM (RC), ST (C)"
Federico Della Torre,2000649129,"M/AM (R), ST (C)"
Luca Chirico,2000507838,"AM (RC), ST (C)"
