Player,UID,AF,CF,DLF,F9,P,PF,TM
Adam Karabec,25062522.0,14.15,13.1,14.3,13.45,14.15,12.6,13.05
Bryan Rugani,2000567826.0,12.75,12.7,13.65,13.7,12.75,11.4,12.6
Lorenzo Micucci,2000567825.0,12.2,10.55,10.85,10.6,12.2,10.95,11.25
Mattia Napoli,2000507848.0,9.9,9.05,10.0,8.55,9.9,10.6,10.9
Paolo Di Napoli,2000507831.0,11.65,10.6,11.95,11.3,11.65,11.4,11.7
Marco Saporito,2000507393.0,12.55,12.95,14.75,13.75,12.55,12.65,13.35
Enrico Taurino,2000435791.0,12.0,11.25,12.5,11.85,12.0,10.85,10.75
Gregorio Poggi,2000434780.0,12.65,11.95,12.5,12.6,12.65,12.1,11.3
Adolfo Torrisi,2000326083.0,13.2,12.8,13.6,13.9,13.2,13.35,11.85
Filippo Ricciardi,2000324317.0,13.95,12.2,13.6,13.9,13.95,11.8,12.25
Georgi Atanasov,22083648.0,12.85,12.15,12.5,12.75,12.85,11.8,12.4
Sávio,2000011972.0,13.7,11.8,13.5,13.9,13.7,12.3,10.9
Simone Felugo,2000193649.0,12.15,12.75,13.15,12.75,12.15,12.0,12.05
Gianmario Minelli,2000192822.0,11.8,12.5,13.1,12.65,11.8,12.4,11.8
Godwin Ackah,2000192606.0,12.15,11.55,12.85,12.15,12.15,10.9,10.55
Nicolò Brighi,2000192605.0,9.4,8.3,8.65,8.55,9.4,10.9,9.95
Raimondo Gadau,2000192601.0,11.75,9.0,10.3,10.25,11.75,11.7,10.15
Vasilis Zagaritis,36151881.0,13.7,12.3,13.4,13.25,13.7,13.6,12.2
Dinko Mandura,2000186481.0,14.2,13.2,14.2,13.9,14.2,13.2,12.6
Borys Bococi,2000461608.0,14.8,13.9,14.0,13.2,14.8,13.6,13.0
Francesco Petrini,2000435442.0,12.9,12.9,13.2,12.3,12.9,13.4,13.3
Lorenzo Campadelli,2000435439.0,11.7,13.2,13.15,12.4,11.7,12.25,13.25
Alex Zanut,2000194920.0,12.4,9.95,11.6,11.55,12.4,10.85,10.3
Vincenzo Puccinelli,2000192602.0,12.2,9.0,10.7,11.1,12.2,10.5,10.25
Imran Louza,48038017.0,12.55,12.4,13.3,12.9,12.55,12.65,11.3
Nicolò Armini,43373238.0,12.0,11.25,12.05,11.0,12.0,12.35,11.45
Emerson,19158043.0,11.2,11.9,13.0,13.5,11.2,10.9,11.5
Nicolás Tagliafico,14008030.0,11.1,13.3,13.35,13.4,11.1,12.25,13.5
Andrea Chiappetta,2000567823.0,11.55,8.9,11.15,11.8,11.55,10.3,9.15
Manuel Santos,2000439547.0,13.1,12.6,13.8,14.2,13.1,12.8,12.0
Gianmarco Solagna,2000323862.0,12.1,13.4,14.3,13.4,12.1,11.9,13.9
Rodrigo Gomes,83333463.0,14.5,13.5,14.1,14.7,14.5,13.4,12.2
Marcos Paulo,19354619.0,12.95,12.8,12.9,13.35,12.95,12.7,12.35
Emiliano Buono,2000567820.0,5.9,3.15,5.45,3.85,5.9,5.65,4.35
Marcello Carrieri,2000437682.0,8.65,5.6,8.1,6.7,8.65,8.1,7.35
Tim Rönning,93065015.0,9.2,8.45,11.15,8.5,9.2,10.1,10.65
Andrea Bianchini,43266746.0,9.3,6.75,8.6,6.9,9.3,8.9,8.6
Nahitan Nández,78067241.0,12.9,12.7,13.1,12.9,12.9,13.8,12.1
Hamed Junior Traoré,43317933.0,14.55,13.8,14.75,15.2,14.55,13.2,12.9
Paulo Dybala,14044150.0,12.6,15.1,15.4,15.7,12.6,11.7,13.7
Damiano Manzella,2000438268.0,12.05,10.85,12.5,11.65,12.05,11.9,10.7
Alessandro Alborghetti,2000566976.0,10.2,9.65,10.85,10.8,10.2,10.6,10.4
Umberto Lettieri,2000567821.0,12.5,11.2,11.9,11.4,12.5,12.0,12.3
Pol Lirola,67211095.0,11.8,11.05,12.25,12.5,11.8,11.25,10.65
Lisandro Martínez,14167329.0,12.6,13.1,13.9,13.15,12.6,12.2,12.8
Matteo Gabbia,43266774.0,12.4,12.4,13.3,12.2,12.4,12.7,12.9
