Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Adam Karabec,25062522.0,8.67,15.38,15.5,14.33,12.67,13.67,13.0,11.92
Bryan Rugani,2000567826.0,5.5,13.75,11.5,12.83,11.17,16.0,10.5,10.5
Lorenzo Micucci,2000567825.0,4.83,12.75,15.5,11.33,11.0,11.0,11.0,9.25
Mattia Napoli,2000507848.0,14.67,13.25,10.5,6.33,7.83,7.5,12.0,12.25
Paolo Di Napoli,2000507831.0,11.33,12.25,13.25,10.0,9.33,11.33,11.5,12.42
Marco Saporito,2000507393.0,9.83,14.75,13.5,13.67,11.5,13.67,13.0,12.0
Enrico Taurino,2000435791.0,7.0,12.25,11.5,13.17,11.33,12.0,9.5,13.25
Gregorio Poggi,2000434780.0,9.0,13.0,14.0,12.0,11.17,13.0,8.25,10.08
Adolfo Torrisi,2000326083.0,8.0,13.75,12.0,13.5,11.67,14.83,7.5,11.5
Filippo Ricciardi,2000324317.0,7.5,14.75,13.0,15.83,12.5,13.5,8.5,11.08
Georgi Atanasov,22083648.0,6.83,12.38,13.0,12.33,12.67,13.0,12.0,11.08
Sávio,2000011972.0,5.0,13.0,15.5,14.33,11.67,15.0,5.0,12.33
Simone Felugo,2000193649.0,6.5,12.88,12.5,12.33,11.67,13.17,10.0,11.67
Gianmario Minelli,2000192822.0,10.33,11.38,13.25,13.0,11.33,14.0,8.5,10.92
Godwin Ackah,2000192606.0,6.17,12.88,14.0,13.33,11.0,12.5,6.0,10.67
Nicolò Brighi,2000192605.0,10.67,11.5,10.75,7.67,6.33,8.5,12.5,11.83
Raimondo Gadau,2000192601.0,6.67,14.12,15.25,9.67,8.83,9.0,9.5,10.75
Vasilis Zagaritis,36151881.0,13.0,14.62,15.0,11.0,11.5,12.5,9.5,14.0
Dinko Mandura,2000186481.0,8.33,14.5,15.0,14.33,13.0,14.33,10.5,12.17
Borys Bococi,2000461608.0,6.67,14.25,15.0,11.67,15.33,14.0,10.5,12.17
Francesco Petrini,2000435442.0,7.67,13.0,12.5,11.33,14.67,12.33,9.5,11.67
Lorenzo Campadelli,2000435439.0,10.0,13.38,12.0,12.33,9.83,11.33,14.5,13.92
Alex Zanut,2000194920.0,4.33,12.75,16.0,11.33,10.0,10.83,9.0,11.25
Vincenzo Puccinelli,2000192602.0,7.67,15.25,13.5,9.5,8.0,10.83,11.0,9.67
Imran Louza,48038017.0,10.5,12.25,13.5,13.67,12.83,13.33,6.5,13.33
Nicolò Armini,43373238.0,13.33,15.12,13.25,10.67,8.33,11.17,13.0,13.42
Emerson,19158043.0,12.67,10.75,10.0,13.0,11.33,13.33,8.5,12.83
Nicolás Tagliafico,14008030.0,16.0,10.0,9.0,13.67,11.67,12.33,14.0,15.17
Andrea Chiappetta,2000567823.0,2.83,12.25,14.0,9.0,9.17,13.5,6.5,7.5
Manuel Santos,2000439547.0,7.67,13.25,14.0,13.67,11.67,15.0,8.0,13.17
Gianmarco Solagna,2000323862.0,8.0,13.0,10.0,15.0,13.33,13.0,12.5,12.83
Rodrigo Gomes,83333463.0,7.83,13.5,14.5,14.0,13.67,15.67,8.5,13.33
Marcos Paulo,19354619.0,7.67,13.38,13.0,13.33,11.67,14.0,12.5,12.58
Emiliano Buono,2000567820.0,3.83,6.5,14.0,2.17,2.83,2.33,5.25,5.0
Marcello Carrieri,2000437682.0,3.83,13.62,10.0,4.17,4.33,4.17,7.75,10.42
Tim Rönning,93065015.0,6.33,13.5,9.0,7.33,6.33,5.17,10.0,15.33
Andrea Bianchini,43266746.0,5.67,11.0,11.5,6.67,7.5,4.5,10.5,10.17
Nahitan Nández,78067241.0,13.0,14.0,11.5,13.0,12.67,11.67,7.0,15.0
Hamed Junior Traoré,43317933.0,9.17,14.25,13.5,16.17,13.5,15.67,7.5,14.0
Paulo Dybala,14044150.0,3.33,10.0,9.0,16.33,16.0,16.0,9.0,12.67
Damiano Manzella,2000438268.0,14.33,14.62,12.5,9.83,9.17,11.33,9.5,13.92
Alessandro Alborghetti,2000566976.0,10.0,12.25,10.5,10.0,6.0,11.0,11.0,13.83
Umberto Lettieri,2000567821.0,14.33,15.25,14.0,10.33,9.0,10.33,14.5,13.33
Pol Lirola,67211095.0,11.0,12.62,13.25,11.67,9.67,12.83,10.0,12.25
Lisandro Martínez,14167329.0,14.0,14.0,12.0,13.33,11.0,13.0,13.0,13.33
Matteo Gabbia,43266774.0,15.0,14.5,13.5,11.0,9.67,11.33,14.0,14.17
