Player,UID,CD,BPD,NNCB,Lib
Adam Karabec,25062522.0,10.7,11.75,10.4,11.9
Bryan Rugani,2000567826.0,9.7,10.0,8.8,10.9
Lorenzo Micucci,2000567825.0,8.5,8.35,7.95,8.55
Mattia Napoli,2000507848.0,13.35,11.95,13.15,10.2
Paolo Di Napoli,2000507831.0,11.45,11.55,11.3,11.45
Marco Saporito,2000507393.0,11.45,12.0,12.05,12.2
Enrico Taurino,2000435791.0,10.25,9.8,9.8,10.7
Gregorio Poggi,2000434780.0,8.75,9.6,8.35,11.15
Adolfo Torrisi,2000326083.0,9.25,10.0,9.9,11.75
Filippo Ricciardi,2000324317.0,8.75,9.9,8.35,11.5
Georgi Atanasov,22083648.0,9.7,10.2,9.4,10.65
Sávio,2000011972.0,8.2,8.7,8.0,11.0
Simone Felugo,2000193649.0,9.95,10.2,9.55,11.05
Gianmario Minelli,2000192822.0,9.9,10.95,9.7,12.25
Godwin Ackah,2000192606.0,7.95,8.7,7.75,10.15
Nicolò Brighi,2000192605.0,11.5,10.75,11.15,9.35
Raimondo Gadau,2000192601.0,8.95,8.25,9.25,8.1
Vasilis Zagaritis,36151881.0,12.5,12.5,12.5,13.05
Dinko Mandura,2000186481.0,9.9,10.5,10.0,12.2
Borys Bococi,2000461608.0,9.5,10.1,9.8,11.0
Francesco Petrini,2000435442.0,9.8,10.4,8.9,10.8
Lorenzo Campadelli,2000435439.0,13.05,12.35,12.35,11.95
Alex Zanut,2000194920.0,8.15,8.35,7.9,8.9
Vincenzo Puccinelli,2000192602.0,8.55,9.2,8.55,8.85
Imran Louza,48038017.0,10.65,10.8,10.45,12.5
Nicolò Armini,43373238.0,13.0,13.05,13.3,11.85
Emerson,19158043.0,11.4,11.8,11.2,13.3
Nicolás Tagliafico,14008030.0,14.95,14.75,15.0,14.85
Andrea Chiappetta,2000567823.0,5.55,6.5,6.15,7.45
Manuel Santos,2000439547.0,9.8,10.0,9.3,11.7
Gianmarco Solagna,2000323862.0,10.8,11.3,9.8,11.7
Rodrigo Gomes,83333463.0,10.35,10.65,10.55,12.35
Marcos Paulo,19354619.0,10.6,11.05,10.8,11.4
Emiliano Buono,2000567820.0,4.9,4.75,5.95,3.2
Marcello Carrieri,2000437682.0,7.1,7.0,7.8,5.55
Tim Rönning,93065015.0,11.75,10.3,10.45,8.7
Andrea Bianchini,43266746.0,9.05,8.05,9.15,7.0
Nahitan Nández,78067241.0,12.6,12.0,12.8,13.4
Hamed Junior Traoré,43317933.0,10.8,11.3,10.5,13.5
Paulo Dybala,14044150.0,8.4,9.6,8.0,12.1
Damiano Manzella,2000438268.0,13.0,12.4,13.2,12.5
Alessandro Alborghetti,2000566976.0,11.5,10.4,11.1,10.05
Umberto Lettieri,2000567821.0,13.8,13.5,13.3,12.1
Pol Lirola,67211095.0,10.9,11.15,11.2,11.85
Lisandro Martínez,14167329.0,13.4,13.7,13.4,13.7
Matteo Gabbia,43266774.0,14.4,14.3,14.2,13.6
