Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Adam Karabec,25062522,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Bryan Rugani,2000567826,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Lorenzo Micucci,2000567825,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mattia Napoli,2000507848,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Paolo Di Napoli,2000507831,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Marco Saporito,2000507393,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Enrico Taurino,2000435791,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Gregorio Poggi,2000434780,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Adolfo Torrisi,2000326083,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Filippo Ricciardi,2000324317,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Georgi Atanasov,22083648,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Sávio,2000011972,0,0,0,0,0,0,0,1,0,0,1,1,1,1
Simone Felugo,2000193649,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Gianmario Minelli,2000192822,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Godwin Ackah,2000192606,0,0,0,0,0,1,0,0,1,0,1,1,0,0
Nicolò Brighi,2000192605,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Raimondo Gadau,2000192601,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Vasilis Zagaritis,36151881,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Dinko Mandura,2000186481,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Borys Bococi,2000461608,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Francesco Petrini,2000435442,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Lorenzo Campadelli,2000435439,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Alex Zanut,2000194920,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Vincenzo Puccinelli,2000192602,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Imran Louza,48038017,0,0,0,0,0,1,0,0,1,0,1,1,0,0
Nicolò Armini,43373238,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Emerson,19158043,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Nicolás Tagliafico,14008030,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Andrea Chiappetta,2000567823,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Manuel Santos,2000439547,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Gianmarco Solagna,2000323862,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Rodrigo Gomes,83333463,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Marcos Paulo,19354619,0,0,0,0,0,0,0,0,1,1,0,1,1,1
Emiliano Buono,2000567820,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcello Carrieri,2000437682,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Rönning,93065015,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Bianchini,43266746,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nahitan Nández,78067241,0,0,0,0,1,1,0,1,1,0,1,0,0,0
Hamed Junior Traoré,43317933,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Paulo Dybala,14044150,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Damiano Manzella,2000438268,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Alessandro Alborghetti,2000566976,0,1,0,1,0,0,1,0,0,1,0,0,0,0
Umberto Lettieri,2000567821,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Pol Lirola,67211095,0,1,0,1,1,0,0,1,0,0,0,0,0,0
Lisandro Martínez,14167329,0,0,1,1,0,1,0,0,1,0,0,0,0,0
Matteo Gabbia,43266774,0,0,1,0,0,1,0,0,0,0,0,0,0,0
