Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Andrés Céspedes,2000043877.0,9.95,8.75,10.0,9.15,9.9,8.85,8.85,9.65
José Curras,67294881.0,12.65,12.35,12.85,12.4,12.5,11.8,12.2,13.2
Arnau Comas,67258409.0,12.05,11.05,12.75,11.15,12.0,11.05,11.2,12.15
Samir Kacem,2000433838.0,12.6,11.55,14.1,12.75,13.1,11.15,11.7,13.55
Javi López,67293674.0,12.8,12.95,12.05,12.5,12.55,13.25,13.1,12.9
Borja Sainz,67277845.0,12.0,12.25,10.35,12.15,12.1,12.8,12.55,11.25
Adil Aouchiche,49048441.0,12.65,12.15,9.8,11.7,11.65,13.95,13.9,10.5
Xabier Garmendia,2000631378.0,13.6,13.65,11.95,15.1,14.6,14.05,15.55,13.45
Ander Imaz,2000439533.0,9.55,10.55,8.35,11.5,11.0,12.0,12.8,10.0
Rafa Mir,67221051.0,11.55,11.55,10.9,12.0,11.5,12.0,12.4,10.95
Alexander Sørloth,53063430.0,12.35,11.45,11.3,12.0,11.9,12.4,13.2,11.05
Arnar Bragason,2000357424.0,11.65,11.5,13.95,11.8,11.85,11.45,11.8,13.0
Carlos Abad,67198215.0,12.35,10.0,10.6,10.85,11.85,9.55,9.35,10.75
Lirim Kastrati,24058534.0,8.6,9.6,9.9,10.6,9.9,10.5,11.2,9.0
Joseph Ngwem,2000202611.0,10.75,10.45,10.6,11.75,11.7,12.25,13.15,10.65
Asier Rodríguez,2000572954.0,10.65,10.75,8.9,10.8,10.9,11.6,11.95,9.6
David Martínez,14136117.0,13.8,12.8,13.0,12.7,13.35,12.85,12.85,13.35
Luca Sangalli,67190076.0,12.45,11.7,13.15,13.05,13.05,11.65,11.8,12.55
Birger Meling,29126536.0,12.25,11.85,12.75,12.75,12.5,11.65,11.1,12.85
Ibrahim Sangaré,48042717.0,12.6,12.3,13.2,12.85,12.8,12.2,12.35,13.15
Vyacheslav Karavaev,58076747.0,12.65,12.55,13.05,12.75,12.7,12.45,11.85,13.1
Schurrle,83223653.0,13.25,13.15,11.35,13.0,13.15,13.5,13.5,12.5
Suleimane Rodrigues,2000190096.0,12.0,12.0,11.2,12.55,12.8,12.2,12.35,12.05
Stefan Ranđelović,62247042.0,12.45,10.0,11.5,11.1,12.5,10.2,9.6,11.25
Rubén Garrido,2000515088.0,12.95,12.55,11.35,13.2,13.3,13.35,13.45,12.85
Karim El-Tayeb,2000068663.0,11.7,11.3,10.4,12.25,11.8,11.6,11.75,11.35
