Player,UID,WM,W,DW,IW,IF,WG
Andrés Céspedes,2000043877.0,7.1,7.55,7.9,8.3,7.4,7.58
José Curras,67294881.0,11.5,11.2,12.7,11.95,11.6,11.08
Arnau Comas,67258409.0,10.4,10.15,11.75,10.8,10.15,10.88
Samir Kacem,2000433838.0,11.25,10.9,12.95,11.75,11.25,11.08
Javi López,67293674.0,12.7,12.9,12.85,12.55,11.85,12.92
Borja Sainz,67277845.0,12.15,13.05,11.1,12.25,12.3,12.46
Adil Aouchiche,49048441.0,11.7,12.9,9.8,12.65,12.25,12.58
Xabier Garmendia,2000631378.0,13.4,14.5,11.6,15.3,15.7,14.42
Ander Imaz,2000439533.0,11.9,13.7,9.2,12.55,12.5,12.42
Rafa Mir,67221051.0,10.65,12.5,10.15,12.15,12.5,12.92
Alexander Sørloth,53063430.0,11.15,12.4,9.75,12.75,13.0,12.75
Arnar Bragason,2000357424.0,11.2,10.45,12.6,11.7,11.45,10.54
Carlos Abad,67198215.0,7.85,7.05,9.2,9.85,9.0,7.21
Lirim Kastrati,24058534.0,10.4,13.3,8.55,11.4,11.5,12.25
Joseph Ngwem,2000202611.0,12.0,13.3,9.5,12.4,12.5,12.96
Asier Rodríguez,2000572954.0,11.2,12.9,9.15,11.75,11.35,11.92
David Martínez,14136117.0,11.75,11.0,13.0,12.5,11.6,11.17
Luca Sangalli,67190076.0,12.45,12.4,12.4,12.4,12.4,11.0
Birger Meling,29126536.0,12.2,11.45,12.95,11.5,11.35,10.71
Ibrahim Sangaré,48042717.0,12.3,12.05,13.0,12.45,11.9,12.42
Vyacheslav Karavaev,58076747.0,12.85,12.4,13.35,12.1,12.0,12.0
Schurrle,83223653.0,12.8,13.15,12.15,13.75,13.05,12.29
Suleimane Rodrigues,2000190096.0,11.8,11.45,11.8,12.95,12.7,11.25
Stefan Ranđelović,62247042.0,8.65,8.7,9.9,10.05,8.6,8.58
Rubén Garrido,2000515088.0,13.1,12.55,11.55,13.4,12.65,12.12
0,2000068663.0,11.65,11.85,10.15,12.1,12.5,12.29
