Player,UID,Position
Andrés Céspedes,2000043877,GK
José Curras,67294881,"D (RC), WB (R)"
Arnau Comas,67258409,"D (C), DM"
Samir Kacem,2000433838,"D (LC), DM"
Javi López,67293674,D/WB/M (L)
Borja Sainz,67277845,"M (RL), AM (R), ST (C)"
Adil Aouchiche,49048441,M/AM (C)
Xabier Garmendia,2000631378,"M (C), ST (C)"
Ander Imaz,2000439533,"M/AM (L), ST (C)"
Rafa Mir,67221051,"AM (RLC), ST (C)"
Alexander Sørloth,53063430,"AM (C), ST (C)"
Arnar Bragason,2000357424,"D (C), DM"
Carlos Abad,67198215,GK
Lirim Kastrati,24058534,"M/AM (RL), ST (C)"
Joseph Ngwem,2000202611,"AM (R), ST (C)"
Asier Rodríguez,2000572954,M/AM (L)
David Martínez,14136117,D (LC)
Luca Sangalli,67190076,"DM, M (C), AM (R)"
Birger Meling,29126536,D/WB/M/AM (L)
Ibrahim Sangaré,48042717,"D (C), DM, M (C)"
Vyacheslav Karavaev,58076747,"D (RL), WB (R)"
Schurrle,83223653,M/AM (C)
Suleimane Rodrigues,2000190096,M/AM (C)
Stefan Ranđelović,62247042,GK
Rubén Garrido,2000515088,M (LC)
Karim El-Tayeb,2000068663,ST (C)
