Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Andrés Céspedes,2000043877.0,14.5,11.12,14.5,12.42,11.5,3.5,15.0,14.0
José Curras,67294881.0,3.5,13.0,13.5,14.08,1.75,3.0,1.75,2.75
Arnau Comas,67258409.0,2.75,13.25,14.0,12.75,2.5,1.5,3.5,1.75
Samir Kacem,2000433838.0,2.25,13.88,14.0,14.5,2.5,4.0,1.75,1.75
Javi López,67293674.0,3.0,13.88,14.75,11.5,2.75,2.0,3.25,2.25
Borja Sainz,67277845.0,4.0,11.38,14.0,11.33,2.0,1.5,2.25,1.5
Adil Aouchiche,49048441.0,3.0,12.75,14.25,11.75,1.75,2.0,2.0,3.5
Xabier Garmendia,2000631378.0,3.5,15.62,14.5,14.17,3.25,3.0,1.75,3.25
Ander Imaz,2000439533.0,2.5,13.5,16.0,9.75,2.25,4.0,2.0,3.0
Rafa Mir,67221051.0,2.75,14.5,14.0,11.25,2.25,5.0,1.5,3.0
Alexander Sørloth,53063430.0,3.0,13.75,12.5,13.42,2.5,3.0,1.5,3.25
Arnar Bragason,2000357424.0,2.75,14.62,12.5,13.08,2.5,3.5,2.25,2.5
Carlos Abad,67198215.0,14.75,10.62,9.0,11.92,12.0,4.5,15.0,13.0
Lirim Kastrati,24058534.0,3.75,13.0,18.0,10.33,2.75,3.5,2.0,3.75
Joseph Ngwem,2000202611.0,2.0,14.38,14.0,11.58,3.75,2.5,4.0,3.0
Asier Rodríguez,2000572954.0,2.0,11.25,15.0,11.08,3.25,1.5,2.0,2.75
David Martínez,14136117.0,2.25,12.88,13.5,12.75,2.75,1.5,2.5,2.25
Luca Sangalli,67190076.0,2.25,11.88,9.0,13.08,3.5,1.5,2.25,2.75
Birger Meling,29126536.0,2.25,10.5,11.0,13.58,2.0,2.5,3.75,2.0
Ibrahim Sangaré,48042717.0,3.0,14.5,11.0,12.17,2.0,4.5,3.0,2.0
Vyacheslav Karavaev,58076747.0,1.25,11.38,13.0,13.25,2.5,1.0,3.0,2.75
Schurrle,83223653.0,3.0,12.62,13.0,12.5,2.25,3.5,2.75,2.25
Suleimane Rodrigues,2000190096.0,3.0,13.0,11.5,10.17,3.25,3.5,2.0,1.25
Stefan Ranđelović,62247042.0,11.5,10.88,11.5,13.83,13.5,6.5,13.0,12.5
Rubén Garrido,2000515088.0,2.25,14.12,11.5,13.08,2.25,1.0,3.0,3.25
Karim El-Tayeb,2000068663.0,2.0,8.5,14.0,12.58,3.5,2.5,2.5,2.5
